,index,ConfirmedCases,Fatalities
0,0,0.0,0.0
1,1,0.0,0.0
2,2,0.0,0.0
3,3,0.0,0.0
4,4,0.0,0.0
5,5,0.0,0.0
6,6,0.0,0.0
7,7,0.0,0.0
8,8,0.0,0.0
9,9,0.0,0.0
10,10,0.0,0.0
11,11,0.0,0.0
12,12,0.0,0.0
13,13,0.0,0.0
14,14,0.0,0.0
15,15,0.0,0.0
16,16,0.0,0.0
17,17,0.0,0.0
18,18,0.0,0.0
19,19,0.0,0.0
20,20,0.0,0.0
21,21,0.0,0.0
22,22,0.0,0.0
23,23,1.0,0.0
24,24,1.0,0.0
25,25,1.0,0.0
26,26,2.0,0.0
27,27,8.0,0.0
28,28,12.0,1.0
29,29,12.0,1.0
30,30,17.0,1.0
31,31,19.0,1.0
32,32,19.0,1.0
33,33,31.0,2.0
34,34,34.0,2.0
35,35,45.0,2.0
36,36,56.0,2.0
37,37,68.0,2.0
38,38,79.0,2.0
39,39,97.0,3.0
40,40,128.0,3.0
41,41,158.0,4.0
42,42,266.0,4.0
43,43,301.0,4.0
44,44,387.0,6.0
45,45,387.0,8.0
46,46,502.0,9.0
47,47,589.0,13.0
48,48,690.0,18.0
49,49,745.0,19.0
50,50,820.0,23.0
51,51,1054.0,27.0
52,52,1054.0,28.0
53,53,1133.0,36.0
54,54,1265.0,39.0
55,55,1451.0,43.0
56,56,1451.0,44.0
57,57,1554.0,48.0
58,58,1628.0,56.0
59,59,1715.0,63.0
60,60,1795.0,72.0
61,61,1975.0,82.0
62,62,1975.0,83.0
63,63,2142.0,90.0
64,64,2208.0,97.0
