,index,ConfirmedCases,Fatalities
0,0,0.0,0.0
1,1,0.0,0.0
2,2,0.0,0.0
3,3,0.0,0.0
4,4,0.0,0.0
5,5,0.0,0.0
6,6,0.0,0.0
7,7,0.0,0.0
8,8,0.0,0.0
9,9,0.0,0.0
10,10,0.0,0.0
11,11,0.0,0.0
12,12,0.0,0.0
13,13,0.0,0.0
14,14,0.0,0.0
15,15,0.0,0.0
16,16,0.0,0.0
17,17,0.0,0.0
18,18,0.0,0.0
19,19,0.0,0.0
20,20,0.0,0.0
21,21,3.0,0.0
22,22,3.0,0.0
23,23,3.0,0.0
24,24,3.0,0.0
25,25,6.0,0.0
26,26,6.0,0.0
27,27,9.0,0.0
28,28,9.0,0.0
29,29,9.0,0.0
30,30,11.0,0.0
31,31,11.0,0.0
32,32,11.0,0.0
33,33,15.0,1.0
34,34,15.0,1.0
35,35,23.0,1.0
36,36,28.0,1.0
37,37,28.0,1.0
38,38,28.0,1.0
39,39,44.0,1.0
40,40,44.0,1.0
41,41,53.0,1.0
42,42,65.0,1.0
43,43,72.0,1.0
44,44,87.0,1.0
45,45,93.0,2.0
46,46,122.0,3.0
47,47,165.0,3.0
48,48,182.0,4.0
49,49,209.0,4.0
50,50,273.0,4.0
51,51,298.0,5.0
52,52,359.0,5.0
53,53,400.0,5.0
54,54,443.0,5.0
55,55,521.0,5.0
56,56,584.0,7.0
57,57,641.0,7.0
58,58,717.0,8.0
59,59,822.0,8.0
60,60,926.0,9.0
61,61,991.0,10.0
62,62,1058.0,11.0
63,63,1098.0,11.0
64,64,1148.0,12.0
