,index,ConfirmedCases,Fatalities
0,0,0.0,0.0
1,1,0.0,0.0
2,2,0.0,0.0
3,3,0.0,0.0
4,4,0.0,0.0
5,5,0.0,0.0
6,6,0.0,0.0
7,7,0.0,0.0
8,8,0.0,0.0
9,9,0.0,0.0
10,10,0.0,0.0
11,11,0.0,0.0
12,12,0.0,0.0
13,13,0.0,0.0
14,14,0.0,0.0
15,15,1.0,0.0
16,16,1.0,0.0
17,17,1.0,0.0
18,18,1.0,0.0
19,19,1.0,0.0
20,20,1.0,0.0
21,21,1.0,0.0
22,22,1.0,0.0
23,23,1.0,0.0
24,24,1.0,0.0
25,25,1.0,0.0
26,26,1.0,0.0
27,27,1.0,0.0
28,28,4.0,0.0
29,29,4.0,0.0
30,30,5.0,0.0
31,31,7.0,0.0
32,32,7.0,0.0
33,33,7.0,0.0
34,34,11.0,0.0
35,35,16.0,0.0
36,36,21.0,0.0
37,37,22.0,0.0
38,38,22.0,0.0
39,39,22.0,0.0
40,40,24.0,0.0
41,41,24.0,0.0
42,42,40.0,1.0
43,43,40.0,1.0
44,44,74.0,1.0
45,45,84.0,2.0
46,46,94.0,4.0
47,47,110.0,4.0
48,48,110.0,4.0
49,49,120.0,4.0
50,50,170.0,4.0
51,51,174.0,4.0
52,52,237.0,4.0
53,53,273.0,6.0
54,54,281.0,6.0
55,55,299.0,7.0
56,56,349.0,7.0
57,57,367.0,11.0
58,58,423.0,14.0
59,59,444.0,14.0
60,60,484.0,15.0
61,61,521.0,15.0
62,62,555.0,18.0
63,63,607.0,18.0
64,64,665.0,21.0
