,index,ConfirmedCases,Fatalities
0,0,0.0,0.0
1,1,0.0,0.0
2,2,0.0,0.0
3,3,0.0,0.0
4,4,0.0,0.0
5,5,0.0,0.0
6,6,0.0,0.0
7,7,0.0,0.0
8,8,0.0,0.0
9,9,0.0,0.0
10,10,0.0,0.0
11,11,0.0,0.0
12,12,0.0,0.0
13,13,0.0,0.0
14,14,0.0,0.0
15,15,0.0,0.0
16,16,0.0,0.0
17,17,0.0,0.0
18,18,0.0,0.0
19,19,0.0,0.0
20,20,0.0,0.0
21,21,0.0,0.0
22,22,0.0,0.0
23,23,0.0,0.0
24,24,0.0,0.0
25,25,0.0,0.0
26,26,0.0,0.0
27,27,0.0,0.0
28,28,0.0,0.0
29,29,2.0,0.0
30,30,10.0,0.0
31,31,12.0,1.0
32,32,23.0,1.0
33,33,33.0,1.0
34,34,38.0,1.0
35,35,42.0,1.0
36,36,51.0,1.0
37,37,55.0,1.0
38,38,59.0,2.0
39,39,64.0,2.0
40,40,70.0,2.0
41,41,76.0,2.0
42,42,89.0,2.0
43,43,104.0,4.0
44,44,123.0,5.0
45,45,146.0,5.0
46,46,174.0,6.0
47,47,186.0,8.0
48,48,197.0,10.0
49,49,212.0,10.0
50,50,223.0,11.0
51,51,243.0,15.0
52,52,259.0,15.0
53,53,277.0,16.0
54,54,304.0,17.0
55,55,333.0,20.0
56,56,361.0,20.0
57,57,377.0,21.0
58,58,383.0,22.0
59,59,400.0,22.0
60,60,409.0,23.0
61,61,416.0,23.0
62,62,433.0,23.0
63,63,446.0,23.0
64,64,467.0,23.0
