,index,ConfirmedCases,Fatalities
0,0,0.0,0.0
1,1,0.0,0.0
2,2,0.0,0.0
3,3,0.0,0.0
4,4,0.0,0.0
5,5,0.0,0.0
6,6,0.0,0.0
7,7,0.0,0.0
8,8,0.0,0.0
9,9,0.0,0.0
10,10,0.0,0.0
11,11,0.0,0.0
12,12,0.0,0.0
13,13,0.0,0.0
14,14,0.0,0.0
15,15,0.0,0.0
16,16,0.0,0.0
17,17,0.0,0.0
18,18,0.0,0.0
19,19,0.0,0.0
20,20,0.0,0.0
21,21,0.0,0.0
22,22,1.0,0.0
23,23,1.0,0.0
24,24,1.0,0.0
25,25,1.0,0.0
26,26,1.0,0.0
27,27,1.0,0.0
28,28,1.0,0.0
29,29,1.0,0.0
30,30,1.0,0.0
31,31,1.0,0.0
32,32,1.0,0.0
33,33,1.0,0.0
34,34,1.0,0.0
35,35,1.0,0.0
36,36,2.0,0.0
37,37,39.0,0.0
38,38,39.0,0.0
39,39,53.0,0.0
40,40,75.0,0.0
41,41,88.0,0.0
42,42,113.0,1.0
43,43,133.0,1.0
44,44,164.0,1.0
45,45,188.0,1.0
46,46,224.0,3.0
47,47,267.0,3.0
48,48,308.0,3.0
49,49,334.0,6.0
50,50,370.0,8.0
51,51,376.0,12.0
52,52,390.0,14.0
53,53,428.0,15.0
54,54,439.0,16.0
55,55,466.0,17.0
56,56,501.0,18.0
57,57,525.0,21.0
58,58,545.0,22.0
59,59,564.0,23.0
60,60,583.0,25.0
61,61,601.0,26.0
62,62,601.0,26.0
63,63,638.0,29.0
64,64,646.0,29.0
