,index,ConfirmedCases,Fatalities
0,0,0.0,0.0
1,1,0.0,0.0
2,2,0.0,0.0
3,3,0.0,0.0
4,4,0.0,0.0
5,5,0.0,0.0
6,6,0.0,0.0
7,7,0.0,0.0
8,8,0.0,0.0
9,9,0.0,0.0
10,10,0.0,0.0
11,11,0.0,0.0
12,12,0.0,0.0
13,13,0.0,0.0
14,14,0.0,0.0
15,15,0.0,0.0
16,16,0.0,0.0
17,17,0.0,0.0
18,18,0.0,0.0
19,19,0.0,0.0
20,20,0.0,0.0
21,21,0.0,0.0
22,22,0.0,0.0
23,23,0.0,0.0
24,24,0.0,0.0
25,25,0.0,0.0
26,26,0.0,0.0
27,27,0.0,0.0
28,28,0.0,0.0
29,29,0.0,0.0
30,30,1.0,0.0
31,31,1.0,0.0
32,32,1.0,0.0
33,33,1.0,0.0
34,34,1.0,0.0
35,35,1.0,0.0
36,36,1.0,0.0
37,37,1.0,0.0
38,38,1.0,0.0
39,39,1.0,0.0
40,40,1.0,0.0
41,41,4.0,0.0
42,42,8.0,0.0
43,43,18.0,0.0
44,44,26.0,0.0
45,45,52.0,0.0
46,46,78.0,0.0
47,47,84.0,0.0
48,48,115.0,0.0
49,49,136.0,0.0
50,50,160.0,0.0
51,51,194.0,0.0
52,52,235.0,0.0
53,53,249.0,0.0
54,54,265.0,0.0
55,55,290.0,1.0
56,56,329.0,1.0
57,57,407.0,1.0
58,58,424.0,3.0
59,59,482.0,3.0
60,60,532.0,3.0
61,61,571.0,4.0
62,62,663.0,7.0
63,63,736.0,7.0
64,64,770.0,7.0
65,65,822.0,7.0
66,66,833.0,8.0
67,67,853.0,8.0
68,68,881.0,9.0
69,69,921.0,10.0
70,70,937.0,12.0
71,71,967.0,13.0
72,72,1013.0,13.0
73,73,1039.0,14.0
