,index,ConfirmedCases,Fatalities
0,0,4.0,0.0
1,1,4.0,0.0
2,2,4.0,0.0
3,3,4.0,0.0
4,4,4.0,0.0
5,5,4.0,0.0
6,6,4.0,0.0
7,7,4.0,0.0
8,8,4.0,0.0
9,9,4.0,0.0
10,10,4.0,0.0
11,11,4.0,0.0
12,12,4.0,0.0
13,13,4.0,0.0
14,14,4.0,0.0
15,15,4.0,0.0
16,16,4.0,0.0
17,17,4.0,0.0
18,18,4.0,0.0
19,19,4.0,0.0
20,20,4.0,0.0
21,21,6.0,0.0
22,22,6.0,0.0
23,23,13.0,0.0
24,24,22.0,1.0
25,25,22.0,1.0
26,26,26.0,1.0
27,27,28.0,1.0
28,28,38.0,2.0
29,29,48.0,2.0
30,30,55.0,2.0
31,31,65.0,2.0
32,32,65.0,2.0
33,33,92.0,2.0
34,34,112.0,2.0
35,35,134.0,2.0
36,36,171.0,2.0
37,37,210.0,4.0
38,38,267.0,5.0
39,39,307.0,5.0
40,40,353.0,6.0
41,41,436.0,6.0
42,42,669.0,6.0
43,43,669.0,6.0
44,44,818.0,7.0
45,45,1029.0,7.0
46,46,1219.0,7.0
47,47,1405.0,7.0
48,48,1617.0,8.0
49,49,1791.0,8.0
50,50,2032.0,8.0
51,51,2032.0,8.0
52,52,2182.0,9.0
53,53,2298.0,10.0
54,54,2389.0,12.0
55,55,2493.0,12.0
56,56,2580.0,16.0
57,57,2637.0,18.0
58,58,2686.0,21.0
59,59,2734.0,21.0
60,60,2773.0,21.0
61,61,2822.0,22.0
62,62,2857.0,23.0
63,63,2857.0,24.0
64,64,2863.0,25.0
