,index,ConfirmedCases,Fatalities
0,0,5.0,0.0
1,1,5.0,0.0
2,2,5.0,0.0
3,3,5.0,0.0
4,4,5.0,0.0
5,5,5.0,0.0
6,6,5.0,0.0
7,7,5.0,0.0
8,8,5.0,0.0
9,9,5.0,0.0
10,10,5.0,0.0
11,11,5.0,0.0
12,12,5.0,0.0
13,13,5.0,0.0
14,14,5.0,0.0
15,15,5.0,0.0
16,16,5.0,0.0
17,17,5.0,0.0
18,18,5.0,0.0
19,19,5.0,0.0
20,20,9.0,0.0
21,21,9.0,0.0
22,22,9.0,0.0
23,23,11.0,0.0
24,24,11.0,0.0
25,25,13.0,0.0
26,26,13.0,0.0
27,27,13.0,0.0
28,28,15.0,0.0
29,29,15.0,0.0
30,30,18.0,0.0
31,31,20.0,0.0
32,32,20.0,0.0
33,33,35.0,0.0
34,34,46.0,0.0
35,35,61.0,0.0
36,36,68.0,0.0
37,37,78.0,0.0
38,38,94.0,0.0
39,39,144.0,0.0
40,40,184.0,0.0
41,41,221.0,0.0
42,42,259.0,0.0
43,43,319.0,0.0
44,44,397.0,0.0
45,45,443.0,0.0
46,46,493.0,1.0
47,47,555.0,1.0
48,48,625.0,1.0
49,49,656.0,2.0
50,50,689.0,2.0
51,51,743.0,2.0
52,52,781.0,2.0
53,53,835.0,4.0
54,54,873.0,4.0
55,55,900.0,4.0
56,56,907.0,4.0
57,57,921.0,4.0
58,58,934.0,4.0
59,59,943.0,4.0
60,60,953.0,4.0
61,61,965.0,4.0
62,62,974.0,5.0
63,63,983.0,5.0
64,64,987.0,5.0
