,index,ConfirmedCases,Fatalities
0,0,2.0,0.0
1,1,2.0,0.0
2,2,2.0,0.0
3,3,2.0,0.0
4,4,2.0,0.0
5,5,2.0,0.0
6,6,2.0,0.0
7,7,2.0,0.0
8,8,2.0,0.0
9,9,2.0,0.0
10,10,2.0,0.0
11,11,2.0,0.0
12,12,2.0,0.0
13,13,2.0,0.0
14,14,2.0,0.0
15,15,2.0,0.0
16,16,2.0,0.0
17,17,2.0,0.0
18,18,2.0,0.0
19,19,2.0,0.0
20,20,3.0,0.0
21,21,3.0,0.0
22,22,3.0,0.0
23,23,3.0,0.0
24,24,5.0,0.0
25,25,5.0,0.0
26,26,7.0,0.0
27,27,7.0,0.0
28,28,7.0,0.0
29,29,7.0,0.0
30,30,7.0,0.0
31,31,9.0,0.0
32,32,9.0,0.0
33,33,16.0,0.0
34,34,19.0,0.0
35,35,20.0,0.0
36,36,29.0,0.0
37,37,29.0,0.0
38,38,37.0,0.0
39,39,42.0,0.0
40,40,50.0,0.0
41,41,67.0,0.0
42,42,100.0,0.0
43,43,134.0,0.0
44,44,170.0,0.0
45,45,170.0,0.0
46,46,235.0,0.0
47,47,257.0,0.0
48,48,287.0,0.0
49,49,299.0,0.0
50,50,305.0,0.0
51,51,337.0,0.0
52,52,367.0,0.0
53,53,367.0,0.0
54,54,396.0,0.0
55,55,407.0,0.0
56,56,407.0,0.0
57,57,411.0,0.0
58,58,411.0,1.0
59,59,415.0,2.0
60,60,420.0,3.0
61,61,428.0,3.0
62,62,429.0,3.0
63,63,429.0,4.0
64,64,429.0,4.0
