,index,ConfirmedCases,Fatalities
0,0,0.0,0.0
1,1,0.0,0.0
2,2,0.0,0.0
3,3,0.0,0.0
4,4,0.0,0.0
5,5,0.0,0.0
6,6,0.0,0.0
7,7,0.0,0.0
8,8,0.0,0.0
9,9,0.0,0.0
10,10,0.0,0.0
11,11,0.0,0.0
12,12,0.0,0.0
13,13,0.0,0.0
14,14,0.0,0.0
15,15,0.0,0.0
16,16,0.0,0.0
17,17,0.0,0.0
18,18,0.0,0.0
19,19,0.0,0.0
20,20,0.0,0.0
21,21,0.0,0.0
22,22,1.0,0.0
23,23,1.0,0.0
24,24,1.0,0.0
25,25,1.0,0.0
26,26,1.0,0.0
27,27,1.0,0.0
28,28,2.0,0.0
29,29,2.0,0.0
30,30,2.0,0.0
31,31,3.0,0.0
32,32,3.0,0.0
33,33,5.0,0.0
34,34,5.0,0.0
35,35,6.0,0.0
36,36,7.0,0.0
37,37,7.0,0.0
38,38,10.0,0.0
39,39,10.0,0.0
40,40,10.0,0.0
41,41,16.0,0.0
42,42,22.0,0.0
43,43,28.0,0.0
44,44,28.0,0.0
45,45,36.0,0.0
46,46,47.0,0.0
47,47,47.0,0.0
48,48,62.0,0.0
49,49,66.0,0.0
50,50,66.0,0.0
51,51,69.0,1.0
52,52,69.0,2.0
53,53,72.0,2.0
54,54,74.0,2.0
55,55,80.0,2.0
56,56,82.0,2.0
57,57,86.0,2.0
58,58,89.0,2.0
59,59,98.0,3.0
60,60,111.0,3.0
61,61,122.0,4.0
62,62,133.0,4.0
63,63,133.0,5.0
64,64,144.0,5.0
65,65,165.0,6.0
66,66,0.0,0.0
