,index,ConfirmedCases,Fatalities
0,0,4.0,0.0
1,1,4.0,0.0
2,2,4.0,0.0
3,3,4.0,0.0
4,4,4.0,0.0
5,5,4.0,0.0
6,6,4.0,0.0
7,7,4.0,0.0
8,8,4.0,0.0
9,9,4.0,0.0
10,10,4.0,0.0
11,11,4.0,0.0
12,12,4.0,0.0
13,13,4.0,0.0
14,14,4.0,0.0
15,15,4.0,0.0
16,16,4.0,0.0
17,17,4.0,0.0
18,18,4.0,0.0
19,19,4.0,0.0
20,20,7.0,0.0
21,21,7.0,0.0
22,22,9.0,0.0
23,23,9.0,0.0
24,24,10.0,0.0
25,25,10.0,0.0
26,26,10.0,0.0
27,27,11.0,0.0
28,28,11.0,0.0
29,29,15.0,0.0
30,30,18.0,0.0
31,31,21.0,0.0
32,32,21.0,0.0
33,33,36.0,0.0
34,34,49.0,0.0
35,35,57.0,0.0
36,36,71.0,0.0
37,37,94.0,0.0
38,38,121.0,0.0
39,39,121.0,0.0
40,40,121.0,0.0
41,41,229.0,0.0
42,42,355.0,0.0
43,43,355.0,0.0
44,44,411.0,0.0
45,45,466.0,0.0
46,46,520.0,3.0
47,47,574.0,3.0
48,48,685.0,3.0
49,49,769.0,4.0
50,50,821.0,4.0
51,51,917.0,4.0
52,52,968.0,4.0
53,53,1036.0,5.0
54,54,1085.0,7.0
55,55,1115.0,8.0
56,56,1135.0,8.0
57,57,1158.0,10.0
58,58,1191.0,11.0
59,59,1212.0,12.0
60,60,1228.0,12.0
61,61,1241.0,13.0
62,62,1265.0,14.0
63,63,1268.0,14.0
64,64,1281.0,14.0
