,index,ConfirmedCases,Fatalities
0,0,0.0,0.0
1,1,0.0,0.0
2,2,0.0,0.0
3,3,0.0,0.0
4,4,0.0,0.0
5,5,0.0,0.0
6,6,0.0,0.0
7,7,0.0,0.0
8,8,0.0,0.0
9,9,0.0,0.0
10,10,0.0,0.0
11,11,0.0,0.0
12,12,0.0,0.0
13,13,0.0,0.0
14,14,0.0,0.0
15,15,0.0,0.0
16,16,0.0,0.0
17,17,0.0,0.0
18,18,0.0,0.0
19,19,0.0,0.0
20,20,2.0,0.0
21,21,2.0,1.0
22,22,2.0,1.0
23,23,2.0,1.0
24,24,2.0,1.0
25,25,3.0,1.0
26,26,3.0,1.0
27,27,3.0,1.0
28,28,3.0,1.0
29,29,4.0,1.0
30,30,6.0,1.0
31,31,9.0,1.0
32,32,9.0,1.0
33,33,14.0,1.0
34,34,17.0,1.0
35,35,17.0,1.0
36,36,28.0,1.0
37,37,31.0,1.0
38,38,35.0,1.0
39,39,52.0,1.0
40,40,64.0,1.0
41,41,90.0,1.0
42,42,120.0,1.0
43,43,140.0,1.0
44,44,175.0,1.0
45,45,175.0,1.0
46,46,231.0,2.0
47,47,231.0,2.0
48,48,278.0,2.0
49,49,311.0,2.0
50,50,355.0,2.0
51,51,364.0,2.0
52,52,392.0,2.0
53,53,400.0,2.0
54,54,400.0,2.0
55,55,436.0,2.0
56,56,453.0,3.0
57,57,460.0,4.0
58,58,460.0,4.0
59,59,481.0,6.0
60,60,495.0,6.0
61,61,506.0,6.0
62,62,514.0,6.0
63,63,514.0,6.0
64,64,517.0,6.0
