,index,ConfirmedCases,Fatalities
0,0,0.0,0.0
1,1,0.0,0.0
2,2,0.0,0.0
3,3,0.0,0.0
4,4,0.0,0.0
5,5,0.0,0.0
6,6,0.0,0.0
7,7,0.0,0.0
8,8,0.0,0.0
9,9,0.0,0.0
10,10,0.0,0.0
11,11,0.0,0.0
12,12,0.0,0.0
13,13,0.0,0.0
14,14,0.0,0.0
15,15,0.0,0.0
16,16,2.0,0.0
17,17,2.0,0.0
18,18,3.0,0.0
19,19,3.0,0.0
20,20,9.0,0.0
21,21,14.0,0.0
22,22,18.0,0.0
23,23,21.0,0.0
24,24,29.0,0.0
25,25,41.0,0.0
26,26,55.0,0.0
27,27,79.0,0.0
28,28,104.0,0.0
29,29,131.0,0.0
30,30,182.0,0.0
31,31,246.0,0.0
32,32,302.0,1.0
33,33,504.0,1.0
34,34,655.0,1.0
35,35,860.0,1.0
36,36,1018.0,3.0
37,37,1332.0,3.0
38,38,1646.0,4.0
39,39,2013.0,6.0
40,40,2388.0,6.0
41,41,2814.0,8.0
42,42,3582.0,16.0
43,43,4474.0,21.0
44,44,5283.0,28.0
45,45,5588.0,30.0
46,46,6909.0,49.0
47,47,7657.0,58.0
48,48,8271.0,68.0
49,49,8788.0,86.0
50,50,9618.0,108.0
51,51,10180.0,128.0
52,52,10711.0,146.0
53,53,11129.0,158.0
54,54,11524.0,168.0
55,55,11781.0,186.0
56,56,12051.0,204.0
57,57,12297.0,220.0
58,58,12639.0,243.0
59,59,12942.0,273.0
60,60,13244.0,295.0
61,61,13555.0,319.0
62,62,13806.0,337.0
63,63,13945.0,350.0
64,64,14041.0,368.0
