,index,ConfirmedCases,Fatalities
0,0,0.0,0.0
1,1,0.0,0.0
2,2,0.0,0.0
3,3,0.0,0.0
4,4,0.0,0.0
5,5,0.0,0.0
6,6,0.0,0.0
7,7,0.0,0.0
8,8,0.0,0.0
9,9,0.0,0.0
10,10,0.0,0.0
11,11,0.0,0.0
12,12,0.0,0.0
13,13,0.0,0.0
14,14,0.0,0.0
15,15,1.0,0.0
16,16,23.0,0.0
17,17,33.0,0.0
18,18,33.0,0.0
19,19,36.0,0.0
20,20,41.0,0.0
21,21,47.0,0.0
22,22,49.0,0.0
23,23,49.0,0.0
24,24,52.0,0.0
25,25,55.0,0.0
26,26,60.0,0.0
27,27,85.0,0.0
28,28,85.0,0.0
29,29,95.0,0.0
30,30,110.0,0.0
31,31,195.0,0.0
32,32,195.0,0.0
33,33,195.0,0.0
34,34,210.0,0.0
35,35,214.0,0.0
36,36,214.0,1.0
37,37,228.0,1.0
38,38,256.0,1.0
39,39,278.0,1.0
40,40,285.0,1.0
41,41,305.0,1.0
42,42,334.0,2.0
43,43,377.0,2.0
44,44,392.0,3.0
45,45,419.0,4.0
46,46,458.0,4.0
47,47,466.0,4.0
48,48,476.0,4.0
49,49,499.0,4.0
50,50,515.0,4.0
51,51,567.0,4.0
52,52,569.0,4.0
53,53,643.0,4.0
54,54,672.0,4.0
55,55,688.0,4.0
56,56,700.0,4.0
57,57,756.0,4.0
58,58,811.0,5.0
59,59,823.0,5.0
60,60,887.0,5.0
61,61,925.0,6.0
62,62,1040.0,6.0
63,63,1136.0,6.0
