,index,ConfirmedCases,Fatalities
0,0,0.0,0.0
1,1,0.0,0.0
2,2,0.0,0.0
3,3,0.0,0.0
4,4,0.0,0.0
5,5,0.0,0.0
6,6,0.0,0.0
7,7,0.0,0.0
8,8,0.0,0.0
9,9,0.0,0.0
10,10,0.0,0.0
11,11,0.0,0.0
12,12,0.0,0.0
13,13,0.0,0.0
14,14,0.0,0.0
15,15,0.0,0.0
16,16,0.0,0.0
17,17,0.0,0.0
18,18,0.0,0.0
19,19,0.0,0.0
20,20,0.0,0.0
21,21,0.0,0.0
22,22,0.0,0.0
23,23,0.0,0.0
24,24,0.0,0.0
25,25,0.0,0.0
26,26,0.0,0.0
27,27,0.0,0.0
28,28,3.0,0.0
29,29,3.0,0.0
30,30,3.0,0.0
31,31,3.0,0.0
32,32,3.0,0.0
33,33,3.0,0.0
34,34,3.0,0.0
35,35,5.0,0.0
36,36,8.0,0.0
37,37,10.0,0.0
38,38,14.0,1.0
39,39,17.0,1.0
40,40,20.0,1.0
41,41,25.0,2.0
42,42,27.0,2.0
43,43,33.0,3.0
44,44,39.0,4.0
45,45,39.0,5.0
46,46,44.0,5.0
47,47,48.0,5.0
48,48,48.0,5.0
49,49,48.0,5.0
50,50,49.0,5.0
51,51,51.0,5.0
52,52,54.0,6.0
53,53,56.0,6.0
54,54,61.0,6.0
55,55,70.0,8.0
56,56,88.0,9.0
57,57,123.0,12.0
58,58,164.0,17.0
59,59,218.0,20.0
60,60,330.0,21.0
61,61,424.0,27.0
62,62,482.0,30.0
63,63,621.0,34.0
64,64,803.0,39.0
