,index,ConfirmedCases,Fatalities
0,0,0.0,0.0
1,1,0.0,0.0
2,2,0.0,0.0
3,3,0.0,0.0
4,4,0.0,0.0
5,5,0.0,0.0
6,6,0.0,0.0
7,7,0.0,0.0
8,8,0.0,0.0
9,9,0.0,0.0
10,10,0.0,0.0
11,11,0.0,0.0
12,12,0.0,0.0
13,13,0.0,0.0
14,14,0.0,0.0
15,15,0.0,0.0
16,16,0.0,0.0
17,17,0.0,0.0
18,18,0.0,0.0
19,19,1.0,0.0
20,20,1.0,0.0
21,21,1.0,0.0
22,22,1.0,0.0
23,23,1.0,0.0
24,24,6.0,0.0
25,25,6.0,0.0
26,26,6.0,0.0
27,27,6.0,0.0
28,28,6.0,0.0
29,29,6.0,0.0
30,30,9.0,0.0
31,31,9.0,0.0
32,32,12.0,0.0
33,33,27.0,0.0
34,34,27.0,0.0
35,35,27.0,0.0
36,36,36.0,0.0
37,37,36.0,0.0
38,38,51.0,0.0
39,39,51.0,0.0
40,40,69.0,0.0
41,41,76.0,0.0
42,42,76.0,0.0
43,43,81.0,0.0
44,44,81.0,0.0
45,45,86.0,0.0
46,46,86.0,0.0
47,47,94.0,0.0
48,48,94.0,0.0
49,49,94.0,0.0
50,50,152.0,0.0
51,51,152.0,1.0
52,52,163.0,2.0
53,53,304.0,4.0
54,54,351.0,4.0
55,55,440.0,5.0
56,56,562.0,8.0
57,57,700.0,13.0
58,58,861.0,13.0
59,59,1066.0,13.0
60,60,1486.0,16.0
61,61,1981.0,19.0
62,62,2226.0,23.0
63,63,2578.0,26.0
64,64,2919.0,29.0
