,index,ConfirmedCases,Fatalities
0,0,1.0,0.0
1,1,1.0,0.0
2,2,1.0,0.0
3,3,1.0,0.0
4,4,1.0,0.0
5,5,1.0,0.0
6,6,1.0,0.0
7,7,1.0,0.0
8,8,1.0,0.0
9,9,1.0,0.0
10,10,1.0,0.0
11,11,1.0,0.0
12,12,1.0,0.0
13,13,1.0,0.0
14,14,1.0,0.0
15,15,1.0,0.0
16,16,1.0,0.0
17,17,1.0,0.0
18,18,1.0,0.0
19,19,1.0,0.0
20,20,1.0,0.0
21,21,2.0,0.0
22,22,8.0,0.0
23,23,13.0,0.0
24,24,23.0,0.0
25,25,50.0,0.0
26,26,109.0,0.0
27,27,169.0,0.0
28,28,200.0,0.0
29,29,239.0,0.0
30,30,267.0,0.0
31,31,314.0,3.0
32,32,314.0,3.0
33,33,559.0,3.0
34,34,689.0,4.0
35,35,886.0,4.0
36,36,1058.0,5.0
37,37,1243.0,10.0
38,38,1486.0,14.0
39,39,1795.0,21.0
40,40,2257.0,37.0
41,41,2815.0,67.0
42,42,3401.0,75.0
43,43,3743.0,88.0
44,44,4269.0,122.0
45,45,4937.0,178.0
46,46,6235.0,220.0
47,47,7284.0,289.0
48,48,9134.0,353.0
49,49,10836.0,431.0
50,50,11899.0,513.0
51,51,12775.0,705.0
52,52,13964.0,828.0
53,53,15348.0,1011.0
54,54,16770.0,1143.0
55,55,18431.0,1283.0
56,56,19691.0,1447.0
57,57,20814.0,1632.0
58,58,22194.0,2035.0
59,59,23403.0,2240.0
60,60,24983.0,2523.0
61,61,26667.0,3019.0
62,62,28018.0,3346.0
63,63,29647.0,3600.0
64,64,30589.0,3903.0
