,index,ConfirmedCases,Fatalities
0,0,0.0,0.0
1,1,0.0,0.0
2,2,0.0,0.0
3,3,0.0,0.0
4,4,0.0,0.0
5,5,0.0,0.0
6,6,0.0,0.0
7,7,0.0,0.0
8,8,0.0,0.0
9,9,0.0,0.0
10,10,0.0,0.0
11,11,0.0,0.0
12,12,0.0,0.0
13,13,0.0,0.0
14,14,0.0,0.0
15,15,0.0,0.0
16,16,0.0,0.0
17,17,0.0,0.0
18,18,0.0,0.0
19,19,0.0,0.0
20,20,0.0,0.0
21,21,0.0,0.0
22,22,0.0,0.0
23,23,0.0,0.0
24,24,0.0,0.0
25,25,2.0,0.0
26,26,2.0,0.0
27,27,3.0,0.0
28,28,3.0,0.0
29,29,3.0,0.0
30,30,5.0,0.0
31,31,7.0,0.0
32,32,11.0,0.0
33,33,13.0,0.0
34,34,18.0,0.0
35,35,24.0,0.0
36,36,25.0,0.0
37,37,26.0,0.0
38,38,38.0,0.0
39,39,63.0,0.0
40,40,89.0,0.0
41,41,93.0,1.0
42,42,126.0,1.0
43,43,136.0,1.0
44,44,166.0,3.0
45,45,176.0,3.0
46,46,191.0,3.0
47,47,237.0,4.0
48,48,258.0,5.0
49,49,323.0,6.0
50,50,368.0,10.0
51,51,420.0,13.0
52,52,459.0,13.0
53,53,533.0,16.0
54,54,579.0,17.0
55,55,624.0,21.0
56,56,654.0,23.0
57,57,674.0,29.0
58,58,764.0,33.0
59,59,804.0,34.0
60,60,858.0,35.0
61,61,901.0,36.0
62,62,946.0,37.0
63,63,1009.0,39.0
64,64,1037.0,39.0
