,index,ConfirmedCases,Fatalities
0,0,0.0,0.0
1,1,0.0,0.0
2,2,0.0,0.0
3,3,0.0,0.0
4,4,0.0,0.0
5,5,0.0,0.0
6,6,0.0,0.0
7,7,0.0,0.0
8,8,0.0,0.0
9,9,0.0,0.0
10,10,0.0,0.0
11,11,0.0,0.0
12,12,0.0,0.0
13,13,0.0,0.0
14,14,0.0,0.0
15,15,0.0,0.0
16,16,0.0,0.0
17,17,1.0,0.0
18,18,1.0,0.0
19,19,1.0,0.0
20,20,2.0,0.0
21,21,2.0,0.0
22,22,2.0,0.0
23,23,2.0,0.0
24,24,4.0,0.0
25,25,4.0,0.0
26,26,13.0,0.0
27,27,13.0,0.0
28,28,20.0,0.0
29,29,25.0,0.0
30,30,31.0,0.0
31,31,38.0,0.0
32,32,52.0,0.0
33,33,151.0,0.0
34,34,151.0,0.0
35,35,162.0,0.0
36,36,200.0,0.0
37,37,321.0,1.0
38,38,372.0,3.0
39,39,621.0,6.0
40,40,793.0,11.0
41,41,1021.0,15.0
42,42,1546.0,25.0
43,43,1924.0,34.0
44,44,2247.0,46.0
45,45,2554.0,59.0
46,46,2985.0,77.0
47,47,3417.0,92.0
48,48,3904.0,111.0
49,49,4256.0,136.0
50,50,4579.0,159.0
51,51,5717.0,201.0
52,52,6836.0,240.0
53,53,8044.0,324.0
54,54,9056.0,359.0
55,55,10360.0,445.0
56,56,11130.0,486.0
57,57,12161.0,564.0
58,58,14034.0,686.0
59,59,16170.0,819.0
60,60,18092.0,950.0
61,61,19638.0,1057.0
62,62,20727.0,1124.0
63,63,22192.0,1223.0
64,64,23430.0,1328.0
