,index,ConfirmedCases,Fatalities
0,0,0.0,0.0
1,1,0.0,0.0
2,2,0.0,0.0
3,3,0.0,0.0
4,4,0.0,0.0
5,5,0.0,0.0
6,6,0.0,0.0
7,7,0.0,0.0
8,8,0.0,0.0
9,9,0.0,0.0
10,10,0.0,0.0
11,11,0.0,0.0
12,12,0.0,0.0
13,13,0.0,0.0
14,14,0.0,0.0
15,15,0.0,0.0
16,16,0.0,0.0
17,17,0.0,0.0
18,18,0.0,0.0
19,19,0.0,0.0
20,20,0.0,0.0
21,21,0.0,0.0
22,22,0.0,0.0
23,23,0.0,0.0
24,24,0.0,0.0
25,25,0.0,0.0
26,26,0.0,0.0
27,27,0.0,0.0
28,28,4.0,0.0
29,29,4.0,0.0
30,30,4.0,0.0
31,31,7.0,1.0
32,32,7.0,1.0
33,33,23.0,1.0
34,34,41.0,2.0
35,35,51.0,2.0
36,36,52.0,2.0
37,37,67.0,2.0
38,38,92.0,2.0
39,39,94.0,3.0
40,40,127.0,3.0
41,41,163.0,3.0
42,42,187.0,3.0
43,43,201.0,3.0
44,44,218.0,3.0
45,45,242.0,3.0
46,46,264.0,3.0
47,47,293.0,3.0
48,48,331.0,7.0
49,49,346.0,8.0
50,50,359.0,8.0
51,51,399.0,8.0
52,52,422.0,10.0
53,53,457.0,10.0
54,54,485.0,14.0
55,55,503.0,17.0
56,56,531.0,20.0
57,57,549.0,22.0
58,58,577.0,23.0
59,59,593.0,24.0
60,60,618.0,24.0
61,61,635.0,25.0
62,62,661.0,28.0
63,63,675.0,29.0
64,64,685.0,32.0
