,index,ConfirmedCases,Fatalities
0,0,4.0,0.0
1,1,4.0,0.0
2,2,4.0,0.0
3,3,4.0,0.0
4,4,4.0,0.0
5,5,4.0,0.0
6,6,4.0,0.0
7,7,4.0,0.0
8,8,5.0,0.0
9,9,5.0,0.0
10,10,5.0,0.0
11,11,5.0,0.0
12,12,6.0,0.0
13,13,6.0,0.0
14,14,6.0,0.0
15,15,6.0,0.0
16,16,7.0,0.0
17,17,7.0,0.0
18,18,7.0,0.0
19,19,7.0,0.0
20,20,8.0,0.0
21,21,8.0,0.0
22,22,8.0,0.0
23,23,9.0,0.0
24,24,12.0,0.0
25,25,13.0,0.0
26,26,21.0,0.0
27,27,21.0,0.0
28,28,27.0,0.0
29,29,32.0,1.0
30,30,32.0,1.0
31,31,39.0,1.0
32,32,46.0,1.0
33,33,64.0,1.0
34,34,64.0,1.0
35,35,73.0,1.0
36,36,103.0,4.0
37,37,103.0,4.0
38,38,186.0,7.0
39,39,231.0,7.0
40,40,271.0,8.0
41,41,424.0,10.0
42,42,424.0,10.0
43,43,472.0,13.0
44,44,617.0,13.0
45,45,617.0,13.0
46,46,725.0,14.0
47,47,725.0,14.0
48,48,884.0,17.0
49,49,884.0,17.0
50,50,970.0,19.0
51,51,1013.0,24.0
52,52,1013.0,24.0
53,53,1121.0,31.0
54,54,1174.0,31.0
55,55,1203.0,38.0
56,56,1203.0,38.0
57,57,1266.0,38.0
58,58,1266.0,39.0
59,59,1291.0,43.0
60,60,1336.0,48.0
61,61,1370.0,50.0
62,62,1445.0,58.0
63,63,1445.0,58.0
64,64,1490.0,69.0
