,index,ConfirmedCases,Fatalities
0,0,3.0,0.0
1,1,3.0,0.0
2,2,3.0,0.0
3,3,3.0,0.0
4,4,3.0,0.0
5,5,3.0,0.0
6,6,3.0,0.0
7,7,3.0,0.0
8,8,3.0,0.0
9,9,3.0,0.0
10,10,3.0,0.0
11,11,3.0,0.0
12,12,3.0,0.0
13,13,3.0,0.0
14,14,3.0,0.0
15,15,4.0,0.0
16,16,4.0,0.0
17,17,4.0,0.0
18,18,6.0,0.0
19,19,6.0,0.0
20,20,11.0,0.0
21,21,15.0,0.0
22,22,18.0,0.0
23,23,20.0,0.0
24,24,20.0,0.0
25,25,22.0,0.0
26,26,25.0,0.0
27,27,28.0,0.0
28,28,29.0,0.0
29,29,34.0,0.0
30,30,36.0,0.0
31,31,41.0,0.0
32,32,42.0,0.0
33,33,74.0,0.0
34,34,79.0,0.0
35,35,104.0,0.0
36,36,177.0,0.0
37,37,185.0,1.0
38,38,221.0,1.0
39,39,257.0,1.0
40,40,308.0,2.0
41,41,377.0,3.0
42,42,425.0,5.0
43,43,503.0,6.0
44,44,588.0,7.0
45,45,688.0,8.0
46,46,858.0,13.0
47,47,994.0,18.0
48,48,1144.0,18.0
49,49,1355.0,21.0
50,50,1706.0,31.0
51,51,1966.0,33.0
52,52,2392.0,37.0
53,53,2793.0,53.0
54,54,3255.0,67.0
55,55,3630.0,94.0
56,56,4354.0,119.0
57,57,4347.0,150.0
58,58,4726.0,153.0
59,59,5276.0,153.0
60,60,5759.0,200.0
61,61,6237.0,222.0
62,62,6648.0,253.0
63,63,7049.0,274.0
64,64,7470.0,291.0
