,index,ConfirmedCases,Fatalities
0,0,0.0,0.0
1,1,0.0,0.0
2,2,0.0,0.0
3,3,0.0,0.0
4,4,0.0,0.0
5,5,0.0,0.0
6,6,0.0,0.0
7,7,0.0,0.0
8,8,0.0,0.0
9,9,0.0,0.0
10,10,0.0,0.0
11,11,0.0,0.0
12,12,0.0,0.0
13,13,0.0,0.0
14,14,0.0,0.0
15,15,0.0,0.0
16,16,0.0,0.0
17,17,0.0,0.0
18,18,0.0,0.0
19,19,1.0,0.0
20,20,1.0,0.0
21,21,1.0,0.0
22,22,1.0,0.0
23,23,1.0,0.0
24,24,1.0,0.0
25,25,2.0,0.0
26,26,2.0,0.0
27,27,3.0,0.0
28,28,4.0,0.0
29,29,4.0,0.0
30,30,4.0,0.0
31,31,8.0,0.0
32,32,9.0,0.0
33,33,17.0,0.0
34,34,17.0,0.0
35,35,24.0,0.0
36,36,50.0,0.0
37,37,74.0,0.0
38,38,94.0,0.0
39,39,121.0,1.0
40,40,139.0,1.0
41,41,181.0,5.0
42,42,219.0,4.0
43,43,628.0,4.0
44,44,1013.0,4.0
45,45,1342.0,6.0
46,46,1632.0,8.0
47,47,2024.0,18.0
48,48,2498.0,22.0
49,49,2840.0,22.0
50,50,3430.0,22.0
51,51,4162.0,31.0
52,52,4611.0,33.0
53,53,5518.0,36.0
54,54,6101.0,61.0
55,55,6101.0,61.0
56,56,7944.0,75.0
57,57,8580.0,121.0
58,58,9340.0,150.0
59,59,10031.0,175.0
60,60,10912.0,216.0
61,61,11677.0,241.0
62,62,12292.0,289.0
63,63,12846.0,328.0
64,64,13557.0,360.0
