,index,ConfirmedCases,Fatalities
0,0,0.0,0.0
1,1,0.0,0.0
2,2,0.0,0.0
3,3,0.0,0.0
4,4,0.0,0.0
5,5,0.0,0.0
6,6,0.0,0.0
7,7,0.0,0.0
8,8,0.0,0.0
9,9,0.0,0.0
10,10,0.0,0.0
11,11,0.0,0.0
12,12,0.0,0.0
13,13,0.0,0.0
14,14,0.0,0.0
15,15,0.0,0.0
16,16,0.0,0.0
17,17,0.0,0.0
18,18,0.0,0.0
19,19,0.0,0.0
20,20,0.0,0.0
21,21,0.0,0.0
22,22,0.0,0.0
23,23,0.0,0.0
24,24,0.0,0.0
25,25,0.0,0.0
26,26,1.0,0.0
27,27,2.0,0.0
28,28,4.0,0.0
29,29,7.0,0.0
30,30,7.0,0.0
31,31,19.0,0.0
32,32,19.0,0.0
33,33,29.0,0.0
34,34,29.0,0.0
35,35,39.0,0.0
36,36,56.0,0.0
37,37,74.0,0.0
38,38,97.0,0.0
39,39,119.0,0.0
40,40,146.0,1.0
41,41,195.0,1.0
42,42,259.0,1.0
43,43,301.0,1.0
44,44,359.0,1.0
45,45,358.0,2.0
46,46,486.0,2.0
47,47,542.0,2.0
48,48,542.0,2.0
49,49,621.0,2.0
50,50,661.0,3.0
51,51,690.0,8.0
52,52,754.0,9.0
53,53,969.0,13.0
54,54,969.0,13.0
55,55,1075.0,18.0
56,56,1181.0,20.0
57,57,1250.0,23.0
58,58,1373.0,24.0
59,59,1373.0,26.0
60,60,1423.0,29.0
61,61,1451.0,32.0
62,62,1567.0,40.0
63,63,1567.0,40.0
64,64,1732.0,46.0
