,index,ConfirmedCases,Fatalities
0,0,0.0,0.0
1,1,0.0,0.0
2,2,0.0,0.0
3,3,0.0,0.0
4,4,0.0,0.0
5,5,0.0,0.0
6,6,0.0,0.0
7,7,0.0,0.0
8,8,0.0,0.0
9,9,0.0,0.0
10,10,0.0,0.0
11,11,0.0,0.0
12,12,0.0,0.0
13,13,0.0,0.0
14,14,0.0,0.0
15,15,0.0,0.0
16,16,0.0,0.0
17,17,0.0,0.0
18,18,0.0,0.0
19,19,0.0,0.0
20,20,0.0,0.0
21,21,0.0,0.0
22,22,0.0,0.0
23,23,1.0,0.0
24,24,1.0,0.0
25,25,4.0,0.0
26,26,4.0,0.0
27,27,4.0,0.0
28,28,8.0,0.0
29,29,8.0,0.0
30,30,13.0,0.0
31,31,23.0,0.0
32,32,23.0,0.0
33,33,43.0,0.0
34,34,61.0,0.0
35,35,74.0,0.0
36,36,155.0,0.0
37,37,201.0,0.0
38,38,238.0,0.0
39,39,238.0,0.0
40,40,434.0,0.0
41,41,537.0,0.0
42,42,632.0,1.0
43,43,746.0,2.0
44,44,922.0,2.0
45,45,1142.0,3.0
46,46,1306.0,4.0
47,47,1610.0,5.0
48,48,1909.0,6.0
49,49,2139.0,7.0
50,50,2449.0,8.0
51,51,2738.0,12.0
52,52,3031.0,16.0
53,53,3404.0,18.0
54,54,3737.0,22.0
55,55,4161.0,27.0
56,56,4471.0,34.0
57,57,4815.0,37.0
58,58,5116.0,43.0
59,59,5546.0,48.0
60,60,5972.0,57.0
61,61,6501.0,65.0
62,62,6927.0,73.0
63,63,7213.0,80.0
64,64,7525.0,82.0
