,index,ConfirmedCases,Fatalities
0,0,54.0,0.0
1,1,58.0,0.0
2,2,58.0,0.0
3,3,60.0,0.0
4,4,61.0,0.0
5,5,65.0,0.0
6,6,68.0,0.0
7,7,70.0,0.0
8,8,72.0,0.0
9,9,73.0,0.0
10,10,75.0,0.0
11,11,75.0,0.0
12,12,75.0,0.0
13,13,75.0,0.0
14,14,75.0,0.0
15,15,75.0,0.0
16,16,75.0,0.0
17,17,75.0,0.0
18,18,75.0,0.0
19,19,75.0,0.0
20,20,75.0,0.0
21,21,75.0,0.0
22,22,75.0,0.0
23,23,75.0,1.0
24,24,75.0,1.0
25,25,75.0,1.0
26,26,75.0,1.0
27,27,75.0,1.0
28,28,75.0,1.0
29,29,75.0,1.0
30,30,75.0,1.0
31,31,75.0,1.0
32,32,75.0,1.0
33,33,75.0,1.0
34,34,75.0,1.0
35,35,75.0,1.0
36,36,75.0,1.0
37,37,75.0,1.0
38,38,75.0,1.0
39,39,75.0,1.0
40,40,75.0,1.0
41,41,75.0,1.0
42,42,75.0,1.0
43,43,75.0,1.0
44,44,75.0,1.0
45,45,77.0,1.0
46,46,89.0,1.0
47,47,92.0,1.0
48,48,94.0,1.0
49,49,95.0,1.0
50,50,97.0,1.0
51,51,107.0,1.0
52,52,111.0,1.0
53,53,117.0,1.0
54,54,117.0,1.0
55,55,117.0,1.0
56,56,117.0,1.0
57,57,118.0,1.0
58,58,121.0,1.0
59,59,124.0,1.0
60,60,126.0,1.0
61,61,128.0,1.0
62,62,155.0,1.0
63,63,189.0,1.0
64,64,190.0,1.0
