,index,ConfirmedCases,Fatalities
0,0,779.0,1.0
1,1,830.0,3.0
2,2,860.0,4.0
3,3,889.0,4.0
4,4,910.0,5.0
5,5,934.0,6.0
6,6,950.0,6.0
7,7,962.0,6.0
8,8,973.0,6.0
9,9,982.0,6.0
10,10,986.0,6.0
11,11,987.0,6.0
12,12,988.0,6.0
13,13,989.0,6.0
14,14,989.0,6.0
15,15,989.0,6.0
16,16,989.0,6.0
17,17,989.0,6.0
18,18,989.0,6.0
19,19,990.0,6.0
20,20,990.0,6.0
21,21,990.0,6.0
22,22,990.0,6.0
23,23,990.0,6.0
24,24,990.0,6.0
25,25,990.0,6.0
26,26,990.0,6.0
27,27,990.0,6.0
28,28,990.0,6.0
29,29,990.0,6.0
30,30,990.0,6.0
31,31,990.0,6.0
32,32,990.0,6.0
33,33,990.0,6.0
34,34,990.0,6.0
35,35,990.0,6.0
36,36,990.0,6.0
37,37,990.0,6.0
38,38,990.0,6.0
39,39,990.0,6.0
40,40,990.0,6.0
41,41,990.0,6.0
42,42,990.0,6.0
43,43,990.0,6.0
44,44,990.0,6.0
45,45,990.0,6.0
46,46,990.0,6.0
47,47,990.0,6.0
48,48,990.0,6.0
49,49,990.0,6.0
50,50,990.0,6.0
51,51,990.0,6.0
52,52,990.0,6.0
53,53,990.0,6.0
54,54,990.0,6.0
55,55,990.0,6.0
56,56,990.0,6.0
57,57,990.0,6.0
58,58,990.0,6.0
59,59,990.0,6.0
60,60,991.0,6.0
61,61,991.0,6.0
62,62,991.0,6.0
