,index,ConfirmedCases,Fatalities
0,0,326.0,2.0
1,1,337.0,2.0
2,2,342.0,3.0
3,3,352.0,3.0
4,4,366.0,3.0
5,5,372.0,3.0
6,6,375.0,4.0
7,7,380.0,4.0
8,8,381.0,4.0
9,9,387.0,4.0
10,10,393.0,4.0
11,11,395.0,4.0
12,12,396.0,4.0
13,13,399.0,4.0
14,14,399.0,4.0
15,15,399.0,4.0
16,16,400.0,4.0
17,17,400.0,4.0
18,18,410.0,5.0
19,19,410.0,7.0
20,20,411.0,8.0
21,21,413.0,8.0
22,22,414.0,8.0
23,23,414.0,8.0
24,24,418.0,8.0
25,25,418.0,8.0
26,26,422.0,8.0
27,27,426.0,8.0
28,28,428.0,8.0
29,29,428.0,8.0
30,30,429.0,8.0
31,31,435.0,8.0
32,32,435.0,8.0
33,33,436.0,8.0
34,34,437.0,8.0
35,35,442.0,8.0
36,36,452.0,8.0
37,37,456.0,8.0
38,38,469.0,8.0
39,39,480.0,8.0
40,40,491.0,8.0
41,41,504.0,8.0
42,42,522.0,8.0
43,43,537.0,8.0
44,44,558.0,8.0
45,45,561.0,8.0
46,46,566.0,8.0
47,47,569.0,8.0
48,48,573.0,8.0
49,49,577.0,8.0
50,50,577.0,8.0
51,51,580.0,8.0
52,52,580.0,8.0
53,53,582.0,8.0
54,54,584.0,8.0
55,55,585.0,8.0
56,56,586.0,8.0
57,57,587.0,8.0
58,58,587.0,8.0
59,59,588.0,8.0
60,60,588.0,8.0
61,61,588.0,8.0
62,62,589.0,8.0
63,63,589.0,8.0
64,64,589.0,8.0
