,index,ConfirmedCases,Fatalities
0,0,468.0,2.0
1,1,486.0,2.0
2,2,505.0,3.0
3,3,518.0,3.0
4,4,529.0,4.0
5,5,537.0,5.0
6,6,544.0,5.0
7,7,551.0,5.0
8,8,553.0,5.0
9,9,555.0,5.0
10,10,560.0,5.0
11,11,567.0,6.0
12,12,572.0,6.0
13,13,573.0,6.0
14,14,575.0,6.0
15,15,576.0,6.0
16,16,576.0,6.0
17,17,576.0,6.0
18,18,576.0,6.0
19,19,576.0,6.0
20,20,576.0,6.0
21,21,576.0,6.0
22,22,576.0,6.0
23,23,576.0,6.0
24,24,576.0,6.0
25,25,576.0,6.0
26,26,576.0,6.0
27,27,576.0,6.0
28,28,576.0,6.0
29,29,576.0,6.0
30,30,576.0,6.0
31,31,576.0,6.0
32,32,576.0,6.0
33,33,576.0,6.0
34,34,576.0,6.0
35,35,576.0,6.0
36,36,576.0,6.0
37,37,576.0,6.0
38,38,576.0,6.0
39,39,576.0,6.0
40,40,576.0,6.0
41,41,576.0,6.0
42,42,577.0,6.0
43,43,578.0,6.0
44,44,578.0,6.0
45,45,578.0,6.0
46,46,578.0,6.0
47,47,578.0,6.0
48,48,578.0,6.0
49,49,579.0,6.0
50,50,579.0,6.0
51,51,579.0,6.0
52,52,579.0,6.0
53,53,579.0,6.0
54,54,579.0,6.0
55,55,579.0,6.0
56,56,579.0,6.0
57,57,579.0,6.0
58,58,579.0,6.0
59,59,579.0,6.0
60,60,579.0,6.0
61,61,579.0,6.0
62,62,579.0,6.0
63,63,579.0,6.0
64,64,579.0,6.0
