,index,ConfirmedCases,Fatalities
0,0,250.0,0.0
1,1,261.0,0.0
2,2,267.0,0.0
3,3,272.0,0.0
4,4,279.0,0.0
5,5,281.0,0.0
6,6,285.0,0.0
7,7,287.0,0.0
8,8,290.0,0.0
9,9,292.0,0.0
10,10,293.0,0.0
11,11,293.0,1.0
12,12,293.0,1.0
13,13,293.0,1.0
14,14,293.0,1.0
15,15,293.0,1.0
16,16,294.0,1.0
17,17,294.0,1.0
18,18,296.0,1.0
19,19,296.0,1.0
20,20,296.0,1.0
21,21,296.0,1.0
22,22,296.0,1.0
23,23,296.0,1.0
24,24,296.0,1.0
25,25,296.0,1.0
26,26,296.0,1.0
27,27,296.0,1.0
28,28,296.0,1.0
29,29,296.0,1.0
30,30,296.0,1.0
31,31,296.0,1.0
32,32,296.0,1.0
33,33,296.0,1.0
34,34,296.0,1.0
35,35,296.0,1.0
36,36,296.0,1.0
37,37,296.0,1.0
38,38,296.0,1.0
39,39,296.0,1.0
40,40,299.0,1.0
41,41,303.0,1.0
42,42,313.0,1.0
43,43,313.0,1.0
44,44,318.0,1.0
45,45,322.0,1.0
46,46,328.0,1.0
47,47,331.0,1.0
48,48,337.0,1.0
49,49,338.0,1.0
50,50,340.0,1.0
51,51,343.0,1.0
52,52,345.0,1.0
53,53,345.0,1.0
54,54,349.0,1.0
55,55,350.0,1.0
56,56,350.0,1.0
57,57,350.0,1.0
58,58,351.0,1.0
59,59,351.0,1.0
60,60,351.0,1.0
61,61,351.0,1.0
62,62,351.0,1.0
63,63,352.0,1.0
64,64,352.0,1.0
