,index,ConfirmedCases,Fatalities
0,0,83.0,2.0
1,1,83.0,2.0
2,2,86.0,2.0
3,3,87.0,2.0
4,4,90.0,2.0
5,5,90.0,2.0
6,6,90.0,2.0
7,7,90.0,2.0
8,8,91.0,2.0
9,9,91.0,2.0
10,10,91.0,2.0
11,11,91.0,2.0
12,12,91.0,2.0
13,13,91.0,2.0
14,14,91.0,2.0
15,15,91.0,2.0
16,16,91.0,2.0
17,17,91.0,2.0
18,18,91.0,2.0
19,19,91.0,2.0
20,20,91.0,2.0
21,21,91.0,2.0
22,22,91.0,2.0
23,23,91.0,2.0
24,24,91.0,2.0
25,25,102.0,2.0
26,26,119.0,2.0
27,27,120.0,2.0
28,28,124.0,2.0
29,29,124.0,2.0
30,30,125.0,2.0
31,31,127.0,2.0
32,32,127.0,2.0
33,33,127.0,2.0
34,34,129.0,2.0
35,35,133.0,2.0
36,36,133.0,2.0
37,37,133.0,2.0
38,38,133.0,2.0
39,39,134.0,2.0
40,40,134.0,2.0
41,41,134.0,2.0
42,42,136.0,2.0
43,43,136.0,2.0
44,44,136.0,2.0
45,45,136.0,2.0
46,46,136.0,2.0
47,47,136.0,2.0
48,48,136.0,2.0
49,49,138.0,2.0
50,50,138.0,2.0
51,51,138.0,2.0
52,52,138.0,2.0
53,53,138.0,2.0
54,54,138.0,2.0
55,55,138.0,2.0
56,56,138.0,2.0
57,57,139.0,2.0
58,58,139.0,2.0
59,59,139.0,2.0
60,60,139.0,2.0
61,61,139.0,2.0
62,62,139.0,2.0
63,63,139.0,2.0
64,64,139.0,2.0
