,index,ConfirmedCases,Fatalities
0,0,1131.0,1.0
1,1,1159.0,1.0
2,2,1177.0,1.0
3,3,1219.0,1.0
4,4,1241.0,2.0
5,5,1261.0,2.0
6,6,1294.0,2.0
7,7,1316.0,2.0
8,8,1322.0,4.0
9,9,1328.0,4.0
10,10,1331.0,5.0
11,11,1332.0,5.0
12,12,1333.0,5.0
13,13,1339.0,5.0
14,14,1342.0,6.0
15,15,1345.0,6.0
16,16,1347.0,7.0
17,17,1347.0,7.0
18,18,1347.0,7.0
19,19,1348.0,7.0
20,20,1349.0,7.0
21,21,1349.0,7.0
22,22,1350.0,7.0
23,23,1350.0,7.0
24,24,1350.0,7.0
25,25,1351.0,7.0
26,26,1352.0,7.0
27,27,1352.0,7.0
28,28,1352.0,7.0
29,29,1352.0,8.0
30,30,1353.0,8.0
31,31,1356.0,8.0
32,32,1356.0,8.0
33,33,1356.0,8.0
34,34,1356.0,8.0
35,35,1360.0,8.0
36,36,1361.0,8.0
37,37,1364.0,8.0
38,38,1370.0,8.0
39,39,1378.0,8.0
40,40,1395.0,8.0
41,41,1400.0,8.0
42,42,1413.0,8.0
43,43,1415.0,8.0
44,44,1428.0,8.0
45,45,1433.0,8.0
46,46,1448.0,8.0
47,47,1456.0,8.0
48,48,1467.0,8.0
49,49,1475.0,8.0
50,50,1484.0,8.0
51,51,1494.0,8.0
52,52,1501.0,8.0
53,53,1507.0,8.0
54,54,1514.0,8.0
55,55,1516.0,8.0
56,56,1524.0,8.0
57,57,1532.0,8.0
58,58,1533.0,8.0
59,59,1536.0,8.0
60,60,1539.0,8.0
61,61,1544.0,8.0
62,62,1548.0,8.0
63,63,1552.0,8.0
64,64,1555.0,8.0
