,index,ConfirmedCases,Fatalities
0,0,195.0,1.0
1,1,210.0,1.0
2,2,215.0,1.0
3,3,222.0,1.0
4,4,222.0,2.0
5,5,226.0,2.0
6,6,235.0,2.0
7,7,237.0,2.0
8,8,238.0,2.0
9,9,242.0,2.0
10,10,244.0,2.0
11,11,245.0,2.0
12,12,246.0,2.0
13,13,249.0,2.0
14,14,249.0,2.0
15,15,251.0,2.0
16,16,252.0,2.0
17,17,252.0,2.0
18,18,252.0,2.0
19,19,252.0,2.0
20,20,252.0,2.0
21,21,252.0,2.0
22,22,252.0,2.0
23,23,252.0,2.0
24,24,252.0,2.0
25,25,252.0,2.0
26,26,252.0,2.0
27,27,252.0,2.0
28,28,252.0,2.0
29,29,252.0,2.0
30,30,252.0,2.0
31,31,252.0,2.0
32,32,252.0,2.0
33,33,252.0,2.0
34,34,252.0,2.0
35,35,252.0,2.0
36,36,252.0,2.0
37,37,253.0,2.0
38,38,253.0,2.0
39,39,253.0,2.0
40,40,254.0,2.0
41,41,254.0,2.0
42,42,254.0,2.0
43,43,254.0,2.0
44,44,254.0,2.0
45,45,254.0,2.0
46,46,254.0,2.0
47,47,254.0,2.0
48,48,254.0,2.0
49,49,254.0,2.0
50,50,254.0,2.0
51,51,254.0,2.0
52,52,254.0,2.0
53,53,254.0,2.0
54,54,254.0,2.0
55,55,254.0,2.0
56,56,254.0,2.0
57,57,254.0,2.0
58,58,254.0,2.0
59,59,254.0,2.0
60,60,254.0,2.0
61,61,254.0,2.0
62,62,254.0,2.0
63,63,254.0,2.0
64,64,254.0,2.0
65,65,254.0,2.0
66,66,1.0,0.0
67,67,3.0,0.0
68,68,3.0,0.0
69,69,4.0,0.0
