,index,ConfirmedCases,Fatalities
0,0,99.0,1.0
1,1,109.0,1.0
2,2,127.0,1.0
3,3,133.0,1.0
4,4,135.0,1.0
5,5,140.0,1.0
6,6,143.0,1.0
7,7,144.0,1.0
8,8,146.0,1.0
9,9,146.0,2.0
10,10,146.0,2.0
11,11,146.0,2.0
12,12,146.0,2.0
13,13,146.0,2.0
14,14,146.0,2.0
15,15,146.0,2.0
16,16,146.0,2.0
17,17,146.0,2.0
18,18,146.0,2.0
19,19,146.0,2.0
20,20,146.0,2.0
21,21,146.0,2.0
22,22,146.0,2.0
23,23,146.0,2.0
24,24,146.0,2.0
25,25,146.0,2.0
26,26,146.0,2.0
27,27,146.0,2.0
28,28,146.0,2.0
29,29,146.0,2.0
30,30,146.0,2.0
31,31,146.0,2.0
32,32,146.0,2.0
33,33,146.0,2.0
34,34,146.0,2.0
35,35,146.0,2.0
36,36,146.0,2.0
37,37,147.0,2.0
38,38,146.0,2.0
39,39,146.0,2.0
40,40,146.0,2.0
41,41,146.0,2.0
42,42,146.0,2.0
43,43,146.0,2.0
44,44,146.0,2.0
45,45,146.0,2.0
46,46,146.0,2.0
47,47,146.0,2.0
48,48,146.0,2.0
49,49,146.0,2.0
50,50,146.0,2.0
51,51,146.0,2.0
52,52,146.0,2.0
53,53,146.0,2.0
54,54,146.0,2.0
55,55,146.0,2.0
56,56,146.0,2.0
57,57,146.0,2.0
58,58,146.0,2.0
59,59,146.0,2.0
60,60,146.0,2.0
61,61,146.0,2.0
62,62,146.0,2.0
63,63,146.0,2.0
64,64,146.0,2.0
