,index,ConfirmedCases,Fatalities
0,0,131.0,3.0
1,1,138.0,3.0
2,2,144.0,3.0
3,3,157.0,4.0
4,4,157.0,4.0
5,5,159.0,4.0
6,6,162.0,4.0
7,7,162.0,4.0
8,8,163.0,4.0
9,9,163.0,4.0
10,10,168.0,4.0
11,11,168.0,4.0
12,12,168.0,4.0
13,13,168.0,4.0
14,14,168.0,5.0
15,15,168.0,5.0
16,16,168.0,5.0
17,17,168.0,5.0
18,18,168.0,5.0
19,19,168.0,5.0
20,20,168.0,5.0
21,21,168.0,5.0
22,22,168.0,5.0
23,23,168.0,5.0
24,24,168.0,5.0
25,25,168.0,6.0
26,26,168.0,6.0
27,27,168.0,6.0
28,28,168.0,6.0
29,29,168.0,6.0
30,30,168.0,6.0
31,31,168.0,6.0
32,32,168.0,6.0
33,33,168.0,6.0
34,34,168.0,6.0
35,35,168.0,6.0
36,36,168.0,6.0
37,37,168.0,6.0
38,38,168.0,6.0
39,39,168.0,6.0
40,40,168.0,6.0
41,41,168.0,6.0
42,42,168.0,6.0
43,43,168.0,6.0
44,44,168.0,6.0
45,45,168.0,6.0
46,46,168.0,6.0
47,47,168.0,6.0
48,48,168.0,6.0
49,49,168.0,6.0
50,50,168.0,6.0
51,51,168.0,6.0
52,52,168.0,6.0
53,53,168.0,6.0
54,54,168.0,6.0
55,55,168.0,6.0
56,56,168.0,6.0
57,57,168.0,6.0
58,58,168.0,6.0
59,59,168.0,6.0
60,60,168.0,6.0
61,61,168.0,6.0
62,62,168.0,6.0
63,63,168.0,6.0
64,64,168.0,6.0
