,index,ConfirmedCases,Fatalities
0,0,206.0,2.0
1,1,218.0,2.0
2,2,239.0,2.0
3,3,251.0,2.0
4,4,265.0,3.0
5,5,283.0,3.0
6,6,291.0,3.0
7,7,300.0,3.0
8,8,301.0,3.0
9,9,306.0,4.0
10,10,306.0,4.0
11,11,307.0,5.0
12,12,308.0,5.0
13,13,309.0,6.0
14,14,311.0,6.0
15,15,311.0,6.0
16,16,311.0,6.0
17,17,312.0,6.0
18,18,317.0,6.0
19,19,318.0,6.0
20,20,318.0,6.0
21,21,318.0,6.0
22,22,318.0,6.0
23,23,318.0,6.0
24,24,318.0,6.0
25,25,318.0,6.0
26,26,318.0,6.0
27,27,318.0,6.0
28,28,318.0,6.0
29,29,318.0,6.0
30,30,318.0,6.0
31,31,318.0,6.0
32,32,318.0,6.0
33,33,318.0,6.0
34,34,318.0,6.0
35,35,318.0,6.0
36,36,318.0,6.0
37,37,318.0,6.0
38,38,318.0,6.0
39,39,318.0,6.0
40,40,318.0,6.0
41,41,318.0,6.0
42,42,319.0,6.0
43,43,319.0,6.0
44,44,319.0,6.0
45,45,319.0,6.0
46,46,319.0,6.0
47,47,319.0,6.0
48,48,319.0,6.0
49,49,319.0,6.0
50,50,321.0,6.0
51,51,321.0,6.0
52,52,323.0,6.0
53,53,325.0,6.0
54,54,326.0,6.0
55,55,326.0,6.0
56,56,327.0,6.0
57,57,327.0,6.0
58,58,327.0,6.0
59,59,327.0,6.0
60,60,327.0,6.0
61,61,327.0,6.0
62,62,327.0,6.0
63,63,327.0,6.0
64,64,327.0,6.0
