,index,ConfirmedCases,Fatalities
0,0,307.0,6.0
1,1,331.0,7.0
2,2,360.0,8.0
3,3,378.0,8.0
4,4,395.0,9.0
5,5,419.0,11.0
6,6,425.0,11.0
7,7,445.0,11.0
8,8,457.0,11.0
9,9,464.0,11.0
10,10,470.0,12.0
11,11,476.0,12.0
12,12,479.0,12.0
13,13,479.0,12.0
14,14,480.0,12.0
15,15,480.0,12.0
16,16,480.0,12.0
17,17,480.0,12.0
18,18,480.0,13.0
19,19,480.0,13.0
20,20,480.0,13.0
21,21,480.0,13.0
22,22,480.0,13.0
23,23,480.0,13.0
24,24,480.0,13.0
25,25,481.0,13.0
26,26,481.0,13.0
27,27,481.0,13.0
28,28,481.0,13.0
29,29,481.0,13.0
30,30,481.0,13.0
31,31,482.0,13.0
32,32,482.0,13.0
33,33,482.0,13.0
34,34,482.0,13.0
35,35,482.0,13.0
36,36,482.0,13.0
37,37,482.0,13.0
38,38,482.0,13.0
39,39,483.0,13.0
40,40,484.0,13.0
41,41,484.0,13.0
42,42,484.0,13.0
43,43,484.0,13.0
44,44,484.0,13.0
45,45,484.0,13.0
46,46,484.0,13.0
47,47,484.0,13.0
48,48,484.0,13.0
49,49,484.0,13.0
50,50,484.0,13.0
51,51,484.0,13.0
52,52,484.0,13.0
53,53,488.0,13.0
54,54,489.0,13.0
55,55,491.0,13.0
56,56,504.0,13.0
57,57,524.0,13.0
58,58,544.0,13.0
59,59,569.0,13.0
60,60,609.0,13.0
61,61,638.0,13.0
62,62,661.0,13.0
63,63,684.0,13.0
64,64,740.0,13.0
