,index,ConfirmedCases,Fatalities
0,0,1033.0,6.0
1,1,1073.0,6.0
2,2,1105.0,7.0
3,3,1135.0,8.0
4,4,1169.0,10.0
5,5,1184.0,11.0
6,6,1212.0,13.0
7,7,1231.0,13.0
8,8,1246.0,16.0
9,9,1257.0,19.0
10,10,1262.0,19.0
11,11,1265.0,19.0
12,12,1267.0,19.0
13,13,1270.0,19.0
14,14,1271.0,19.0
15,15,1271.0,19.0
16,16,1271.0,19.0
17,17,1271.0,19.0
18,18,1272.0,20.0
19,19,1272.0,20.0
20,20,1272.0,21.0
21,21,1272.0,22.0
22,22,1272.0,22.0
23,23,1272.0,22.0
24,24,1272.0,22.0
25,25,1272.0,22.0
26,26,1272.0,22.0
27,27,1272.0,22.0
28,28,1272.0,22.0
29,29,1272.0,22.0
30,30,1272.0,22.0
31,31,1273.0,22.0
32,32,1273.0,22.0
33,33,1273.0,22.0
34,34,1273.0,22.0
35,35,1273.0,22.0
36,36,1273.0,22.0
37,37,1273.0,22.0
38,38,1273.0,22.0
39,39,1273.0,22.0
40,40,1273.0,22.0
41,41,1273.0,22.0
42,42,1274.0,22.0
43,43,1274.0,22.0
44,44,1274.0,22.0
45,45,1274.0,22.0
46,46,1275.0,22.0
47,47,1275.0,22.0
48,48,1275.0,22.0
49,49,1276.0,22.0
50,50,1276.0,22.0
51,51,1276.0,22.0
52,52,1276.0,22.0
53,53,1276.0,22.0
54,54,1276.0,22.0
55,55,1276.0,22.0
56,56,1276.0,22.0
57,57,1276.0,22.0
58,58,1276.0,22.0
59,59,1276.0,22.0
60,60,1276.0,22.0
61,61,1276.0,22.0
62,62,1276.0,22.0
63,63,1276.0,22.0
64,64,1276.0,22.0
