,index,ConfirmedCases,Fatalities
0,0,29.0,1.0
1,1,38.0,1.0
2,2,49.0,1.0
3,3,50.0,1.0
4,4,53.0,1.0
5,5,56.0,1.0
6,6,56.0,1.0
7,7,57.0,1.0
8,8,60.0,1.0
9,9,62.0,1.0
10,10,63.0,2.0
11,11,68.0,2.0
12,12,68.0,2.0
13,13,69.0,2.0
14,14,74.0,2.0
15,15,79.0,2.0
16,16,84.0,2.0
17,17,91.0,2.0
18,18,92.0,2.0
19,19,94.0,2.0
20,20,95.0,2.0
21,21,96.0,2.0
22,22,100.0,2.0
23,23,100.0,2.0
24,24,105.0,2.0
25,25,105.0,2.0
26,26,107.0,2.0
27,27,108.0,2.0
28,28,114.0,3.0
29,29,115.0,3.0
30,30,120.0,3.0
31,31,126.0,3.0
32,32,129.0,3.0
33,33,134.0,4.0
34,34,140.0,4.0
35,35,145.0,4.0
36,36,155.0,4.0
37,37,162.0,4.0
38,38,181.0,4.0
39,39,208.0,4.0
40,40,256.0,4.0
41,41,273.0,4.0
42,42,317.0,4.0
43,43,356.0,4.0
44,44,386.0,4.0
45,45,410.0,4.0
46,46,453.0,4.0
47,47,519.0,4.0
48,48,561.0,4.0
49,49,641.0,4.0
50,50,682.0,4.0
51,51,714.0,4.0
52,52,765.0,4.0
53,53,802.0,4.0
54,54,845.0,4.0
55,55,862.0,4.0
56,56,890.0,4.0
57,57,914.0,4.0
58,58,935.0,4.0
59,59,960.0,4.0
60,60,973.0,4.0
61,61,989.0,4.0
62,62,1000.0,4.0
63,63,1004.0,4.0
64,64,1009.0,4.0
