,index,ConfirmedCases,Fatalities
0,0,29631.0,871.0
1,1,31728.0,974.0
2,2,33366.0,1068.0
3,3,33366.0,1068.0
4,4,48206.0,1310.0
5,5,54406.0,1457.0
6,6,56249.0,1596.0
7,7,58182.0,1696.0
8,8,59989.0,1789.0
9,9,61682.0,1921.0
10,10,62031.0,2029.0
11,11,62442.0,2144.0
12,12,62662.0,2144.0
13,13,64084.0,2346.0
14,14,64084.0,2346.0
15,15,64287.0,2495.0
16,16,64786.0,2563.0
17,17,65187.0,2615.0
18,18,65596.0,2641.0
19,19,65914.0,2682.0
20,20,66337.0,2727.0
21,21,66907.0,2761.0
22,22,67103.0,2803.0
23,23,67217.0,2835.0
24,24,67332.0,2871.0
25,25,67466.0,2902.0
26,26,67592.0,2931.0
27,27,67666.0,2959.0
28,28,67707.0,2986.0
29,29,67743.0,3008.0
30,30,67760.0,3024.0
31,31,67773.0,3046.0
32,32,67781.0,3056.0
33,33,67786.0,3062.0
34,34,67790.0,3075.0
35,35,67794.0,3085.0
36,36,67798.0,3099.0
37,37,67799.0,3111.0
38,38,67800.0,3122.0
39,39,67800.0,3130.0
40,40,67800.0,3133.0
41,41,67800.0,3139.0
42,42,67800.0,3153.0
43,43,67800.0,3153.0
44,44,67801.0,3160.0
45,45,67801.0,3163.0
46,46,67801.0,3169.0
47,47,67801.0,3174.0
48,48,67801.0,3177.0
49,49,67801.0,3182.0
50,50,67801.0,3186.0
51,51,67801.0,3187.0
52,52,67802.0,3193.0
53,53,67802.0,3199.0
54,54,67802.0,3203.0
55,55,67803.0,3207.0
56,56,67803.0,3210.0
57,57,67803.0,3212.0
58,58,67803.0,3212.0
59,59,67803.0,3213.0
60,60,67803.0,3215.0
61,61,67803.0,3216.0
62,62,67803.0,3219.0
63,63,67803.0,3219.0
64,64,67803.0,3221.0
