,index,ConfirmedCases,Fatalities
0,0,468.0,0.0
1,1,492.0,0.0
2,2,515.0,0.0
3,3,543.0,0.0
4,4,570.0,0.0
5,5,593.0,0.0
6,6,604.0,0.0
7,7,617.0,0.0
8,8,626.0,0.0
9,9,629.0,0.0
10,10,631.0,0.0
11,11,631.0,0.0
12,12,631.0,0.0
13,13,631.0,0.0
14,14,631.0,0.0
15,15,631.0,0.0
16,16,631.0,0.0
17,17,631.0,0.0
18,18,631.0,0.0
19,19,631.0,0.0
20,20,631.0,0.0
21,21,631.0,0.0
22,22,631.0,0.0
23,23,631.0,0.0
24,24,631.0,0.0
25,25,631.0,0.0
26,26,631.0,0.0
27,27,631.0,0.0
28,28,631.0,0.0
29,29,631.0,0.0
30,30,631.0,0.0
31,31,631.0,0.0
32,32,631.0,0.0
33,33,631.0,0.0
34,34,631.0,0.0
35,35,631.0,0.0
36,36,631.0,0.0
37,37,631.0,0.0
38,38,631.0,0.0
39,39,631.0,0.0
40,40,631.0,0.0
41,41,631.0,0.0
42,42,633.0,0.0
43,43,633.0,0.0
44,44,636.0,0.0
45,45,638.0,0.0
46,46,640.0,0.0
47,47,641.0,0.0
48,48,641.0,0.0
49,49,644.0,0.0
50,50,645.0,0.0
51,51,646.0,0.0
52,52,646.0,0.0
53,53,647.0,0.0
54,54,651.0,0.0
55,55,651.0,0.0
56,56,651.0,0.0
57,57,651.0,0.0
58,58,651.0,0.0
59,59,651.0,0.0
60,60,651.0,0.0
61,61,651.0,0.0
62,62,652.0,0.0
63,63,653.0,0.0
64,64,653.0,0.0
