,index,ConfirmedCases,Fatalities
0,0,740.0,0.0
1,1,771.0,1.0
2,2,804.0,1.0
3,3,844.0,1.0
4,4,872.0,1.0
5,5,900.0,1.0
6,6,913.0,1.0
7,7,925.0,1.0
8,8,930.0,1.0
9,9,933.0,1.0
10,10,934.0,1.0
11,11,934.0,1.0
12,12,934.0,1.0
13,13,934.0,1.0
14,14,934.0,1.0
15,15,934.0,1.0
16,16,934.0,1.0
17,17,934.0,1.0
18,18,934.0,1.0
19,19,935.0,1.0
20,20,935.0,1.0
21,21,935.0,1.0
22,22,935.0,1.0
23,23,935.0,1.0
24,24,935.0,1.0
25,25,935.0,1.0
26,26,935.0,1.0
27,27,935.0,1.0
28,28,935.0,1.0
29,29,935.0,1.0
30,30,935.0,1.0
31,31,935.0,1.0
32,32,935.0,1.0
33,33,935.0,1.0
34,34,935.0,1.0
35,35,935.0,1.0
36,36,935.0,1.0
37,37,935.0,1.0
38,38,935.0,1.0
39,39,935.0,1.0
40,40,935.0,1.0
41,41,935.0,1.0
42,42,936.0,1.0
43,43,936.0,1.0
44,44,936.0,1.0
45,45,936.0,1.0
46,46,936.0,1.0
47,47,936.0,1.0
48,48,936.0,1.0
49,49,937.0,1.0
50,50,937.0,1.0
51,51,937.0,1.0
52,52,937.0,1.0
53,53,937.0,1.0
54,54,937.0,1.0
55,55,937.0,1.0
56,56,937.0,1.0
57,57,937.0,1.0
58,58,937.0,1.0
59,59,937.0,1.0
60,60,937.0,1.0
61,61,937.0,1.0
62,62,937.0,1.0
63,63,937.0,1.0
64,64,937.0,1.0
