,index,ConfirmedCases,Fatalities
0,0,78.0,1.0
1,1,80.0,1.0
2,2,81.0,1.0
3,3,83.0,1.0
4,4,84.0,1.0
5,5,86.0,1.0
6,6,88.0,1.0
7,7,89.0,1.0
8,8,89.0,1.0
9,9,89.0,1.0
10,10,90.0,1.0
11,11,91.0,1.0
12,12,91.0,1.0
13,13,91.0,1.0
14,14,91.0,1.0
15,15,93.0,1.0
16,16,93.0,1.0
17,17,93.0,1.0
18,18,93.0,1.0
19,19,93.0,1.0
20,20,93.0,1.0
21,21,93.0,1.0
22,22,93.0,1.0
23,23,93.0,1.0
24,24,93.0,1.0
25,25,93.0,1.0
26,26,93.0,1.0
27,27,93.0,1.0
28,28,93.0,1.0
29,29,93.0,1.0
30,30,93.0,1.0
31,31,93.0,1.0
32,32,93.0,1.0
33,33,93.0,1.0
34,34,93.0,1.0
35,35,93.0,1.0
36,36,93.0,1.0
37,37,93.0,1.0
38,38,93.0,1.0
39,39,93.0,1.0
40,40,93.0,1.0
41,41,93.0,1.0
42,42,93.0,1.0
43,43,93.0,1.0
44,44,93.0,1.0
45,45,94.0,1.0
46,46,95.0,1.0
47,47,95.0,1.0
48,48,97.0,1.0
49,49,98.0,1.0
50,50,98.0,1.0
51,51,98.0,1.0
52,52,98.0,1.0
53,53,98.0,1.0
54,54,98.0,1.0
55,55,98.0,1.0
56,56,98.0,1.0
57,57,98.0,1.0
58,58,98.0,1.0
59,59,98.0,1.0
60,60,98.0,1.0
61,61,98.0,1.0
62,62,98.0,1.0
63,63,99.0,1.0
64,64,100.0,1.0
