,index,ConfirmedCases,Fatalities
0,0,107.0,0.0
1,1,108.0,0.0
2,2,111.0,0.0
3,3,116.0,1.0
4,4,117.0,1.0
5,5,119.0,1.0
6,6,119.0,1.0
7,7,121.0,1.0
8,8,121.0,1.0
9,9,121.0,1.0
10,10,121.0,1.0
11,11,121.0,1.0
12,12,121.0,1.0
13,13,121.0,1.0
14,14,121.0,1.0
15,15,121.0,1.0
16,16,121.0,1.0
17,17,121.0,1.0
18,18,121.0,1.0
19,19,121.0,1.0
20,20,121.0,1.0
21,21,122.0,1.0
22,22,122.0,1.0
23,23,125.0,1.0
24,24,125.0,1.0
25,25,125.0,1.0
26,26,125.0,1.0
27,27,125.0,1.0
28,28,125.0,1.0
29,29,125.0,1.0
30,30,125.0,1.0
31,31,125.0,1.0
32,32,125.0,1.0
33,33,125.0,1.0
34,34,125.0,1.0
35,35,125.0,1.0
36,36,125.0,1.0
37,37,125.0,1.0
38,38,125.0,1.0
39,39,125.0,1.0
40,40,126.0,2.0
41,41,126.0,2.0
42,42,127.0,2.0
43,43,127.0,2.0
44,44,127.0,2.0
45,45,127.0,2.0
46,46,128.0,2.0
47,47,128.0,2.0
48,48,132.0,2.0
49,49,134.0,2.0
50,50,136.0,2.0
51,51,139.0,2.0
52,52,140.0,2.0
53,53,141.0,2.0
54,54,141.0,2.0
55,55,141.0,2.0
56,56,142.0,2.0
57,57,142.0,2.0
58,58,144.0,2.0
59,59,144.0,2.0
60,60,144.0,2.0
61,61,144.0,2.0
62,62,145.0,2.0
63,63,145.0,2.0
64,64,145.0,2.0
