,index,ConfirmedCases,Fatalities
0,0,10.0,0.0
1,1,10.0,0.0
2,2,10.0,0.0
3,3,10.0,0.0
4,4,10.0,0.0
5,5,10.0,0.0
6,6,10.0,0.0
7,7,10.0,0.0
8,8,10.0,0.0
9,9,10.0,0.0
10,10,10.0,0.0
11,11,10.0,0.0
12,12,10.0,0.0
13,13,10.0,0.0
14,14,10.0,0.0
15,15,10.0,0.0
16,16,10.0,0.0
17,17,10.0,0.0
18,18,10.0,0.0
19,19,10.0,0.0
20,20,10.0,0.0
21,21,10.0,0.0
22,22,10.0,0.0
23,23,10.0,0.0
24,24,10.0,0.0
25,25,10.0,0.0
26,26,10.0,0.0
27,27,10.0,0.0
28,28,10.0,0.0
29,29,10.0,0.0
30,30,10.0,0.0
31,31,10.0,0.0
32,32,10.0,0.0
33,33,10.0,0.0
34,34,10.0,0.0
35,35,10.0,0.0
36,36,11.0,0.0
37,37,12.0,0.0
38,38,15.0,0.0
39,39,17.0,0.0
40,40,17.0,0.0
41,41,18.0,0.0
42,42,24.0,0.0
43,43,24.0,0.0
44,44,25.0,0.0
45,45,30.0,0.0
46,46,31.0,0.0
47,47,33.0,0.0
48,48,37.0,0.0
49,49,37.0,0.0
50,50,38.0,0.0
51,51,41.0,0.0
52,52,41.0,0.0
53,53,41.0,0.0
54,54,43.0,0.0
55,55,43.0,0.0
56,56,44.0,0.0
57,57,44.0,0.0
58,58,44.0,0.0
59,59,45.0,0.0
60,60,45.0,0.0
61,61,45.0,0.0
62,62,45.0,0.0
63,63,45.0,0.0
64,64,45.0,0.0
