,index,ConfirmedCases,Fatalities
0,0,45.0,0.0
1,1,49.0,0.0
2,2,53.0,0.0
3,3,58.0,0.0
4,4,64.0,0.0
5,5,67.0,0.0
6,6,70.0,0.0
7,7,70.0,0.0
8,8,70.0,0.0
9,9,70.0,0.0
10,10,71.0,0.0
11,11,71.0,0.0
12,12,71.0,0.0
13,13,71.0,0.0
14,14,71.0,0.0
15,15,71.0,0.0
16,16,71.0,0.0
17,17,71.0,0.0
18,18,72.0,0.0
19,19,72.0,0.0
20,20,73.0,0.0
21,21,73.0,0.0
22,22,74.0,0.0
23,23,74.0,0.0
24,24,75.0,0.0
25,25,75.0,0.0
26,26,75.0,0.0
27,27,75.0,0.0
28,28,75.0,0.0
29,29,75.0,0.0
30,30,75.0,0.0
31,31,75.0,0.0
32,32,75.0,0.0
33,33,75.0,0.0
34,34,75.0,0.0
35,35,75.0,0.0
36,36,75.0,0.0
37,37,75.0,0.0
38,38,75.0,0.0
39,39,75.0,0.0
40,40,75.0,0.0
41,41,75.0,0.0
42,42,75.0,0.0
43,43,75.0,0.0
44,44,75.0,0.0
45,45,75.0,0.0
46,46,75.0,0.0
47,47,75.0,0.0
48,48,75.0,0.0
49,49,75.0,0.0
50,50,75.0,0.0
51,51,75.0,0.0
52,52,75.0,0.0
53,53,75.0,0.0
54,54,75.0,0.0
55,55,75.0,0.0
56,56,75.0,0.0
57,57,75.0,0.0
58,58,75.0,0.0
59,59,75.0,0.0
60,60,75.0,0.0
61,61,75.0,0.0
62,62,75.0,0.0
63,63,75.0,0.0
64,64,75.0,0.0
