,index,ConfirmedCases,Fatalities
0,0,18.0,0.0
1,1,18.0,0.0
2,2,18.0,0.0
3,3,18.0,0.0
4,4,18.0,0.0
5,5,18.0,0.0
6,6,18.0,0.0
7,7,18.0,0.0
8,8,18.0,0.0
9,9,18.0,0.0
10,10,18.0,0.0
11,11,18.0,0.0
12,12,18.0,0.0
13,13,18.0,0.0
14,14,18.0,0.0
15,15,18.0,0.0
16,16,18.0,0.0
17,17,18.0,0.0
18,18,18.0,0.0
19,19,18.0,0.0
20,20,18.0,0.0
21,21,18.0,0.0
22,22,18.0,0.0
23,23,18.0,0.0
24,24,18.0,0.0
25,25,18.0,0.0
26,26,18.0,0.0
27,27,18.0,0.0
28,28,18.0,0.0
29,29,18.0,0.0
30,30,18.0,0.0
31,31,18.0,0.0
32,32,18.0,0.0
33,33,18.0,0.0
34,34,18.0,0.0
35,35,18.0,0.0
36,36,18.0,0.0
37,37,18.0,0.0
38,38,18.0,0.0
39,39,18.0,0.0
40,40,18.0,0.0
41,41,18.0,0.0
42,42,18.0,0.0
43,43,18.0,0.0
44,44,18.0,0.0
45,45,18.0,0.0
46,46,18.0,0.0
47,47,18.0,0.0
48,48,18.0,0.0
49,49,18.0,0.0
50,50,18.0,0.0
51,51,18.0,0.0
52,52,18.0,0.0
53,53,18.0,0.0
54,54,18.0,0.0
55,55,18.0,0.0
56,56,18.0,0.0
57,57,18.0,0.0
58,58,18.0,0.0
59,59,18.0,0.0
60,60,18.0,0.0
61,61,18.0,0.0
62,62,18.0,0.0
63,63,18.0,0.0
64,64,18.0,0.0
