,index,ConfirmedCases,Fatalities
0,0,208.0,0.0
1,1,213.0,0.0
2,2,219.0,0.0
3,3,225.0,0.0
4,4,229.0,0.0
5,5,230.0,0.0
6,6,232.0,0.0
7,7,236.0,0.0
8,8,240.0,0.0
9,9,240.0,0.0
10,10,242.0,0.0
11,11,245.0,1.0
12,12,245.0,1.0
13,13,245.0,1.0
14,14,245.0,1.0
15,15,245.0,1.0
16,16,245.0,1.0
17,17,245.0,1.0
18,18,245.0,1.0
19,19,245.0,1.0
20,20,245.0,1.0
21,21,245.0,1.0
22,22,245.0,1.0
23,23,245.0,1.0
24,24,245.0,1.0
25,25,245.0,1.0
26,26,245.0,1.0
27,27,245.0,1.0
28,28,245.0,1.0
29,29,245.0,1.0
30,30,245.0,1.0
31,31,245.0,1.0
32,32,245.0,2.0
33,33,245.0,2.0
34,34,245.0,2.0
35,35,245.0,2.0
36,36,245.0,2.0
37,37,246.0,3.0
38,38,246.0,3.0
39,39,246.0,3.0
40,40,247.0,3.0
41,41,248.0,3.0
42,42,248.0,3.0
43,43,248.0,3.0
44,44,249.0,3.0
45,45,250.0,3.0
46,46,253.0,3.0
47,47,253.0,3.0
48,48,253.0,3.0
49,49,253.0,3.0
50,50,253.0,3.0
51,51,253.0,3.0
52,52,255.0,3.0
53,53,255.0,3.0
54,54,255.0,3.0
55,55,256.0,3.0
56,56,256.0,3.0
57,57,256.0,3.0
58,58,256.0,3.0
59,59,256.0,3.0
60,60,256.0,3.0
61,61,256.0,3.0
62,62,256.0,3.0
63,63,256.0,3.0
64,64,256.0,3.0
