,index,ConfirmedCases,Fatalities
0,0,444.0,1.0
1,1,466.0,1.0
2,2,487.0,1.0
3,3,497.0,2.0
4,4,509.0,2.0
5,5,523.0,2.0
6,6,532.0,2.0
7,7,537.0,2.0
8,8,541.0,2.0
9,9,543.0,3.0
10,10,544.0,3.0
11,11,546.0,4.0
12,12,749.0,4.0
13,13,750.0,4.0
14,14,754.0,4.0
15,15,755.0,5.0
16,16,756.0,6.0
17,17,756.0,6.0
18,18,756.0,6.0
19,19,756.0,6.0
20,20,756.0,6.0
21,21,758.0,6.0
22,22,758.0,6.0
23,23,758.0,6.0
24,24,758.0,6.0
25,25,758.0,6.0
26,26,758.0,6.0
27,27,758.0,6.0
28,28,758.0,6.0
29,29,758.0,6.0
30,30,758.0,6.0
31,31,760.0,6.0
32,32,760.0,6.0
33,33,760.0,7.0
34,34,760.0,7.0
35,35,760.0,7.0
36,36,760.0,7.0
37,37,761.0,7.0
38,38,761.0,7.0
39,39,761.0,7.0
40,40,762.0,7.0
41,41,764.0,7.0
42,42,767.0,7.0
43,43,768.0,7.0
44,44,768.0,7.0
45,45,769.0,7.0
46,46,771.0,7.0
47,47,772.0,7.0
48,48,772.0,7.0
49,49,772.0,7.0
50,50,773.0,7.0
51,51,774.0,7.0
52,52,774.0,7.0
53,53,775.0,7.0
54,54,778.0,7.0
55,55,778.0,7.0
56,56,779.0,7.0
57,57,780.0,7.0
58,58,781.0,7.0
59,59,783.0,7.0
60,60,783.0,7.0
61,61,783.0,7.0
62,62,784.0,7.0
63,63,784.0,7.0
64,64,784.0,7.0
