,index,ConfirmedCases,Fatalities
0,0,293.0,1.0
1,1,299.0,1.0
2,2,303.0,1.0
3,3,311.0,1.0
4,4,315.0,1.0
5,5,318.0,1.0
6,6,326.0,1.0
7,7,328.0,1.0
8,8,333.0,1.0
9,9,333.0,1.0
10,10,333.0,2.0
11,11,334.0,2.0
12,12,334.0,2.0
13,13,335.0,3.0
14,14,335.0,3.0
15,15,335.0,3.0
16,16,336.0,3.0
17,17,337.0,3.0
18,18,337.0,3.0
19,19,337.0,3.0
20,20,337.0,3.0
21,21,337.0,3.0
22,22,337.0,3.0
23,23,338.0,3.0
24,24,338.0,3.0
25,25,339.0,3.0
26,26,342.0,3.0
27,27,342.0,3.0
28,28,342.0,3.0
29,29,342.0,3.0
30,30,344.0,3.0
31,31,344.0,3.0
32,32,344.0,3.0
33,33,346.0,3.0
34,34,353.0,3.0
35,35,353.0,3.0
36,36,355.0,3.0
37,37,358.0,3.0
38,38,361.0,3.0
39,39,363.0,3.0
40,40,371.0,3.0
41,41,380.0,3.0
42,42,404.0,4.0
43,43,404.0,4.0
44,44,414.0,4.0
45,45,433.0,5.0
46,46,451.0,5.0
47,47,468.0,5.0
48,48,485.0,5.0
49,49,492.0,5.0
50,50,498.0,5.0
51,51,509.0,5.0
52,52,516.0,6.0
53,53,522.0,6.0
54,54,526.0,6.0
55,55,529.0,6.0
56,56,531.0,6.0
57,57,536.0,6.0
58,58,538.0,6.0
59,59,543.0,7.0
60,60,552.0,7.0
61,61,555.0,7.0
62,62,555.0,7.0
63,63,607.0,7.0
64,64,618.0,7.0
