,index,ConfirmedCases,Fatalities
0,0,119.0,0.0
1,1,119.0,0.0
2,2,124.0,0.0
3,3,126.0,0.0
4,4,126.0,0.0
5,5,127.0,0.0
6,6,128.0,0.0
7,7,129.0,0.0
8,8,130.0,0.0
9,9,131.0,0.0
10,10,131.0,0.0
11,11,132.0,0.0
12,12,132.0,0.0
13,13,132.0,0.0
14,14,132.0,0.0
15,15,133.0,0.0
16,16,133.0,0.0
17,17,133.0,0.0
18,18,133.0,0.0
19,19,133.0,0.0
20,20,133.0,0.0
21,21,133.0,0.0
22,22,133.0,0.0
23,23,133.0,0.0
24,24,133.0,0.0
25,25,133.0,0.0
26,26,133.0,0.0
27,27,133.0,0.0
28,28,133.0,0.0
29,29,133.0,0.0
30,30,133.0,0.0
31,31,133.0,0.0
32,32,133.0,0.0
33,33,133.0,0.0
34,34,133.0,0.0
35,35,133.0,0.0
36,36,133.0,0.0
37,37,133.0,0.0
38,38,133.0,0.0
39,39,133.0,0.0
40,40,133.0,0.0
41,41,133.0,0.0
42,42,133.0,0.0
43,43,134.0,0.0
44,44,134.0,0.0
45,45,134.0,0.0
46,46,135.0,0.0
47,47,135.0,0.0
48,48,135.0,0.0
49,49,136.0,0.0
50,50,136.0,0.0
51,51,136.0,0.0
52,52,137.0,0.0
53,53,137.0,0.0
54,54,137.0,0.0
55,55,137.0,0.0
56,56,138.0,0.0
57,57,138.0,0.0
58,58,138.0,0.0
59,59,163.0,0.0
60,60,166.0,0.0
61,61,168.0,0.0
62,62,172.0,0.0
63,63,172.0,0.0
64,64,173.0,0.0
