,index,ConfirmedCases,Fatalities
0,0,386.0,1.0
1,1,405.0,1.0
2,2,417.0,1.0
3,3,436.0,1.0
4,4,451.0,1.0
5,5,463.0,1.0
6,6,470.0,1.0
7,7,481.0,3.0
8,8,495.0,3.0
9,9,508.0,3.0
10,10,514.0,3.0
11,11,520.0,3.0
12,12,525.0,3.0
13,13,526.0,3.0
14,14,526.0,3.0
15,15,527.0,3.0
16,16,529.0,3.0
17,17,531.0,3.0
18,18,534.0,3.0
19,19,538.0,3.0
20,20,538.0,3.0
21,21,538.0,3.0
22,22,538.0,3.0
23,23,538.0,3.0
24,24,538.0,3.0
25,25,539.0,3.0
26,26,539.0,3.0
27,27,539.0,3.0
28,28,539.0,3.0
29,29,539.0,3.0
30,30,539.0,3.0
31,31,539.0,3.0
32,32,539.0,3.0
33,33,539.0,3.0
34,34,539.0,3.0
35,35,539.0,3.0
36,36,539.0,3.0
37,37,540.0,3.0
38,38,540.0,3.0
39,39,540.0,3.0
40,40,541.0,3.0
41,41,542.0,3.0
42,42,543.0,3.0
43,43,543.0,3.0
44,44,545.0,3.0
45,45,547.0,3.0
46,46,547.0,3.0
47,47,548.0,3.0
48,48,548.0,3.0
49,49,550.0,3.0
50,50,550.0,3.0
51,51,550.0,3.0
52,52,552.0,3.0
53,53,554.0,3.0
54,54,555.0,3.0
55,55,557.0,3.0
56,56,558.0,3.0
57,57,559.0,3.0
58,58,560.0,3.0
59,59,560.0,3.0
60,60,560.0,3.0
61,61,560.0,3.0
62,62,560.0,3.0
63,63,560.0,3.0
64,64,560.0,3.0
