,index,ConfirmedCases,Fatalities
0,0,91.0,1.0
1,1,95.0,1.0
2,2,106.0,2.0
3,3,112.0,2.0
4,4,119.0,3.0
5,5,120.0,3.0
6,6,122.0,3.0
7,7,124.0,3.0
8,8,125.0,3.0
9,9,128.0,3.0
10,10,130.0,3.0
11,11,131.0,3.0
12,12,132.0,3.0
13,13,135.0,3.0
14,14,135.0,3.0
15,15,135.0,3.0
16,16,135.0,3.0
17,17,135.0,3.0
18,18,136.0,3.0
19,19,136.0,3.0
20,20,136.0,3.0
21,21,136.0,3.0
22,22,136.0,3.0
23,23,136.0,3.0
24,24,136.0,3.0
25,25,136.0,3.0
26,26,136.0,3.0
27,27,136.0,3.0
28,28,136.0,3.0
29,29,136.0,3.0
30,30,136.0,3.0
31,31,136.0,3.0
32,32,136.0,3.0
33,33,136.0,3.0
34,34,136.0,3.0
35,35,136.0,3.0
36,36,136.0,3.0
37,37,136.0,3.0
38,38,136.0,3.0
39,39,137.0,3.0
40,40,137.0,3.0
41,41,137.0,3.0
42,42,137.0,3.0
43,43,141.0,3.0
44,44,145.0,3.0
45,45,145.0,3.0
46,46,151.0,3.0
47,47,155.0,3.0
48,48,161.0,3.0
49,49,166.0,3.0
50,50,174.0,3.0
51,51,174.0,3.0
52,52,176.0,3.0
53,53,176.0,3.0
54,54,180.0,3.0
55,55,180.0,3.0
56,56,180.0,3.0
57,57,180.0,3.0
58,58,180.0,3.0
59,59,180.0,3.0
60,60,182.0,3.0
61,61,183.0,3.0
62,62,183.0,3.0
63,63,183.0,3.0
64,64,184.0,3.0
