,index,ConfirmedCases,Fatalities
0,0,45.0,0.0
1,1,49.0,0.0
2,2,55.0,0.0
3,3,59.0,0.0
4,4,63.0,1.0
5,5,65.0,1.0
6,6,70.0,1.0
7,7,71.0,1.0
8,8,75.0,1.0
9,9,76.0,1.0
10,10,76.0,1.0
11,11,76.0,1.0
12,12,76.0,1.0
13,13,76.0,2.0
14,14,76.0,2.0
15,15,76.0,2.0
16,16,76.0,2.0
17,17,76.0,2.0
18,18,76.0,2.0
19,19,76.0,3.0
20,20,76.0,3.0
21,21,76.0,3.0
22,22,76.0,3.0
23,23,76.0,3.0
24,24,76.0,3.0
25,25,76.0,3.0
26,26,76.0,3.0
27,27,76.0,3.0
28,28,76.0,3.0
29,29,76.0,3.0
30,30,76.0,3.0
31,31,76.0,3.0
32,32,76.0,3.0
33,33,76.0,3.0
34,34,76.0,3.0
35,35,76.0,3.0
36,36,76.0,3.0
37,37,76.0,3.0
38,38,76.0,3.0
39,39,76.0,3.0
40,40,76.0,3.0
41,41,76.0,3.0
42,42,76.0,3.0
43,43,76.0,3.0
44,44,76.0,3.0
45,45,76.0,3.0
46,46,76.0,3.0
47,47,76.0,3.0
48,48,76.0,3.0
49,49,76.0,3.0
50,50,76.0,3.0
51,51,76.0,3.0
52,52,76.0,3.0
53,53,76.0,3.0
54,54,76.0,3.0
55,55,76.0,3.0
56,56,76.0,3.0
57,57,76.0,3.0
58,58,76.0,3.0
59,59,76.0,3.0
60,60,76.0,3.0
61,61,76.0,3.0
62,62,76.0,3.0
63,63,76.0,3.0
64,64,76.0,3.0
