,index,ConfirmedCases,Fatalities
0,0,141.0,0.0
1,1,149.0,0.0
2,2,153.0,0.0
3,3,154.0,0.0
4,4,156.0,0.0
5,5,162.0,0.0
6,6,168.0,0.0
7,7,171.0,0.0
8,8,171.0,0.0
9,9,172.0,0.0
10,10,172.0,1.0
11,11,174.0,2.0
12,12,174.0,2.0
13,13,174.0,2.0
14,14,174.0,2.0
15,15,174.0,2.0
16,16,174.0,2.0
17,17,174.0,2.0
18,18,174.0,2.0
19,19,174.0,2.0
20,20,174.0,2.0
21,21,174.0,2.0
22,22,174.0,2.0
23,23,174.0,2.0
24,24,174.0,2.0
25,25,174.0,2.0
26,26,174.0,2.0
27,27,174.0,2.0
28,28,174.0,2.0
29,29,174.0,2.0
30,30,174.0,2.0
31,31,174.0,2.0
32,32,174.0,2.0
33,33,174.0,2.0
34,34,174.0,2.0
35,35,174.0,2.0
36,36,176.0,2.0
37,37,176.0,2.0
38,38,176.0,2.0
39,39,176.0,2.0
40,40,176.0,2.0
41,41,176.0,2.0
42,42,176.0,2.0
43,43,176.0,2.0
44,44,176.0,2.0
45,45,176.0,2.0
46,46,178.0,2.0
47,47,180.0,2.0
48,48,180.0,2.0
49,49,180.0,2.0
50,50,180.0,2.0
51,51,182.0,2.0
52,52,182.0,2.0
53,53,183.0,2.0
54,54,184.0,2.0
55,55,184.0,2.0
56,56,184.0,2.0
57,57,184.0,2.0
58,58,184.0,2.0
59,59,184.0,2.0
60,60,184.0,2.0
61,61,184.0,2.0
62,62,184.0,2.0
63,63,184.0,2.0
64,64,184.0,2.0
