,index,ConfirmedCases,Fatalities
0,0,1075.0,0.0
1,1,1092.0,0.0
2,2,1117.0,0.0
3,3,1131.0,0.0
4,4,1145.0,0.0
5,5,1155.0,0.0
6,6,1162.0,0.0
7,7,1167.0,0.0
8,8,1171.0,0.0
9,9,1172.0,0.0
10,10,1174.0,0.0
11,11,1175.0,1.0
12,12,1203.0,1.0
13,13,1205.0,1.0
14,14,1205.0,1.0
15,15,1205.0,1.0
16,16,1205.0,1.0
17,17,1205.0,1.0
18,18,1205.0,1.0
19,19,1205.0,1.0
20,20,1205.0,1.0
21,21,1205.0,1.0
22,22,1206.0,1.0
23,23,1213.0,1.0
24,24,1213.0,1.0
25,25,1215.0,1.0
26,26,1215.0,1.0
27,27,1215.0,1.0
28,28,1215.0,1.0
29,29,1215.0,1.0
30,30,1215.0,1.0
31,31,1215.0,1.0
32,32,1215.0,1.0
33,33,1215.0,1.0
34,34,1227.0,1.0
35,35,1231.0,1.0
36,36,1231.0,1.0
37,37,1232.0,1.0
38,38,1232.0,1.0
39,39,1233.0,1.0
40,40,1234.0,1.0
41,41,1236.0,1.0
42,42,1238.0,1.0
43,43,1238.0,1.0
44,44,1240.0,1.0
45,45,1241.0,1.0
46,46,1243.0,1.0
47,47,1247.0,1.0
48,48,1251.0,1.0
49,49,1254.0,1.0
50,50,1255.0,1.0
51,51,1257.0,1.0
52,52,1257.0,1.0
53,53,1258.0,1.0
54,54,1260.0,1.0
55,55,1262.0,1.0
56,56,1263.0,1.0
57,57,1264.0,1.0
58,58,1265.0,1.0
59,59,1266.0,1.0
60,60,1267.0,1.0
61,61,1267.0,1.0
62,62,1267.0,1.0
63,63,1267.0,1.0
64,64,1267.0,1.0
