,index,ConfirmedCases,Fatalities
0,0,0.0,0.0
1,1,0.0,0.0
2,2,0.0,0.0
3,3,0.0,0.0
4,4,0.0,0.0
5,5,0.0,0.0
6,6,0.0,0.0
7,7,0.0,0.0
8,8,0.0,0.0
9,9,0.0,0.0
10,10,0.0,0.0
11,11,0.0,0.0
12,12,0.0,0.0
13,13,0.0,0.0
14,14,0.0,0.0
15,15,0.0,0.0
16,16,0.0,0.0
17,17,0.0,0.0
18,18,0.0,0.0
19,19,0.0,0.0
20,20,0.0,0.0
21,21,0.0,0.0
22,22,0.0,0.0
23,23,0.0,0.0
24,24,0.0,0.0
25,25,0.0,0.0
26,26,1.0,0.0
27,27,1.0,0.0
28,28,1.0,0.0
29,29,1.0,0.0
30,30,3.0,0.0
31,31,9.0,0.0
32,32,9.0,0.0
33,33,13.0,0.0
34,34,22.0,0.0
35,35,34.0,0.0
36,36,54.0,0.0
37,37,65.0,0.0
38,38,93.0,0.0
39,39,102.0,0.0
40,40,128.0,0.0
41,41,196.0,0.0
42,42,231.0,2.0
43,43,277.0,3.0
44,44,378.0,3.0
45,45,470.0,4.0
46,46,491.0,6.0
47,47,539.0,6.0
48,48,608.0,6.0
49,49,702.0,10.0
50,50,798.0,12.0
51,51,906.0,16.0
52,52,1065.0,17.0
53,53,1161.0,19.0
54,54,1267.0,25.0
55,55,1406.0,32.0
56,56,1485.0,35.0
57,57,1579.0,46.0
58,58,1780.0,50.0
59,59,2054.0,54.0
60,60,2223.0,69.0
61,61,2473.0,80.0
62,62,2709.0,100.0
63,63,2776.0,109.0
64,64,2852.0,112.0
