,index,ConfirmedCases,Fatalities
0,0,0.0,0.0
1,1,0.0,0.0
2,2,0.0,0.0
3,3,0.0,0.0
4,4,0.0,0.0
5,5,0.0,0.0
6,6,0.0,0.0
7,7,0.0,0.0
8,8,0.0,0.0
9,9,0.0,0.0
10,10,0.0,0.0
11,11,0.0,0.0
12,12,0.0,0.0
13,13,0.0,0.0
14,14,0.0,0.0
15,15,0.0,0.0
16,16,0.0,0.0
17,17,0.0,0.0
18,18,0.0,0.0
19,19,0.0,0.0
20,20,0.0,0.0
21,21,0.0,0.0
22,22,0.0,0.0
23,23,0.0,0.0
24,24,0.0,0.0
25,25,0.0,0.0
26,26,0.0,0.0
27,27,0.0,0.0
28,28,0.0,0.0
29,29,2.0,0.0
30,30,3.0,0.0
31,31,6.0,0.0
32,32,6.0,0.0
33,33,14.0,0.0
34,34,26.0,0.0
35,35,26.0,0.0
36,36,33.0,0.0
37,37,46.0,0.0
38,38,49.0,0.0
39,39,67.0,0.0
40,40,67.0,0.0
41,41,84.0,0.0
42,42,95.0,1.0
43,43,116.0,1.0
44,44,124.0,3.0
45,45,132.0,3.0
46,46,146.0,3.0
47,47,162.0,5.0
48,48,179.0,5.0
49,49,214.0,5.0
50,50,230.0,7.0
51,51,262.0,8.0
52,52,320.0,9.0
53,53,356.0,10.0
54,54,396.0,11.0
55,55,426.0,11.0
56,56,446.0,9.0
57,57,465.0,9.0
58,58,494.0,9.0
59,59,526.0,9.0
60,60,564.0,10.0
61,61,595.0,10.0
62,62,616.0,10.0
63,63,633.0,11.0
64,64,662.0,12.0
