,index,ConfirmedCases,Fatalities
0,0,0.0,0.0
1,1,0.0,0.0
2,2,0.0,0.0
3,3,0.0,0.0
4,4,0.0,0.0
5,5,0.0,0.0
6,6,0.0,0.0
7,7,0.0,0.0
8,8,0.0,0.0
9,9,0.0,0.0
10,10,0.0,0.0
11,11,0.0,0.0
12,12,0.0,0.0
13,13,0.0,0.0
14,14,0.0,0.0
15,15,0.0,0.0
16,16,0.0,0.0
17,17,0.0,0.0
18,18,0.0,0.0
19,19,0.0,0.0
20,20,0.0,0.0
21,21,3.0,0.0
22,22,3.0,0.0
23,23,5.0,0.0
24,24,8.0,0.0
25,25,12.0,0.0
26,26,18.0,0.0
27,27,19.0,0.0
28,28,31.0,0.0
29,29,31.0,0.0
30,30,41.0,0.0
31,31,91.0,0.0
32,32,94.0,0.0
33,33,141.0,0.0
34,34,189.0,0.0
35,35,253.0,0.0
36,36,298.0,0.0
37,37,396.0,0.0
38,38,464.0,0.0
39,39,694.0,0.0
40,40,833.0,0.0
41,41,995.0,0.0
42,42,1120.0,1.0
43,43,1236.0,1.0
44,44,1394.0,3.0
45,45,1654.0,6.0
46,46,1925.0,9.0
47,47,2279.0,9.0
48,48,2631.0,11.0
49,49,2817.0,16.0
50,50,3001.0,23.0
51,51,3308.0,31.0
52,52,3508.0,39.0
53,53,3858.0,44.0
54,54,4091.0,53.0
55,55,4472.0,59.0
56,56,4587.0,67.0
57,57,4822.0,78.0
58,58,5017.0,88.0
59,59,5312.0,99.0
60,60,5569.0,112.0
61,61,5732.0,119.0
62,62,5831.0,129.0
63,63,5991.0,138.0
64,64,6059.0,143.0
