,index,ConfirmedCases,Fatalities
0,0,0.0,0.0
1,1,0.0,0.0
2,2,0.0,0.0
3,3,0.0,0.0
4,4,0.0,0.0
5,5,0.0,0.0
6,6,0.0,0.0
7,7,0.0,0.0
8,8,0.0,0.0
9,9,0.0,0.0
10,10,0.0,0.0
11,11,0.0,0.0
12,12,0.0,0.0
13,13,0.0,0.0
14,14,0.0,0.0
15,15,0.0,0.0
16,16,0.0,0.0
17,17,0.0,0.0
18,18,0.0,0.0
19,19,0.0,0.0
20,20,0.0,0.0
21,21,0.0,0.0
22,22,0.0,0.0
23,23,0.0,0.0
24,24,1.0,0.0
25,25,1.0,0.0
26,26,1.0,0.0
27,27,1.0,0.0
28,28,2.0,0.0
29,29,2.0,0.0
30,30,2.0,0.0
31,31,2.0,0.0
32,32,2.0,0.0
33,33,3.0,0.0
34,34,9.0,0.0
35,35,11.0,0.0
36,36,18.0,0.0
37,37,47.0,0.0
38,38,58.0,0.0
39,39,72.0,0.0
40,40,80.0,0.0
41,41,92.0,0.0
42,42,115.0,0.0
43,43,118.0,0.0
44,44,122.0,0.0
45,45,132.0,0.0
46,46,140.0,0.0
47,47,144.0,0.0
48,48,155.0,0.0
49,49,159.0,0.0
50,50,168.0,0.0
51,51,169.0,0.0
52,52,173.0,0.0
53,53,177.0,0.0
54,54,179.0,0.0
55,55,181.0,0.0
56,56,181.0,0.0
57,57,183.0,0.0
58,58,184.0,0.0
59,59,184.0,0.0
60,60,184.0,0.0
61,61,184.0,0.0
62,62,184.0,0.0
63,63,184.0,0.0
64,64,184.0,0.0
