,index,ConfirmedCases,Fatalities
0,0,64.0,0.0
1,1,135.0,0.0
2,2,135.0,0.0
3,3,175.0,0.0
4,4,175.0,0.0
5,5,218.0,0.0
6,6,285.0,0.0
7,7,355.0,0.0
8,8,454.0,0.0
9,9,542.0,0.0
10,10,621.0,0.0
11,11,634.0,2.0
12,12,634.0,2.0
13,13,634.0,2.0
14,14,691.0,3.0
15,15,691.0,3.0
16,16,691.0,3.0
17,17,705.0,4.0
18,18,705.0,4.0
19,19,705.0,6.0
20,20,705.0,6.0
21,21,705.0,6.0
22,22,705.0,6.0
23,23,706.0,6.0
24,24,706.0,6.0
25,25,706.0,6.0
26,26,706.0,6.0
27,27,706.0,6.0
28,28,706.0,6.0
29,29,706.0,6.0
30,30,706.0,6.0
31,31,706.0,7.0
32,32,706.0,7.0
33,33,706.0,7.0
34,34,706.0,7.0
35,35,706.0,7.0
36,36,706.0,7.0
37,37,706.0,7.0
38,38,712.0,7.0
39,39,712.0,7.0
40,40,712.0,7.0
41,41,712.0,8.0
42,42,712.0,8.0
43,43,712.0,8.0
44,44,712.0,10.0
45,45,712.0,10.0
46,46,712.0,10.0
47,47,712.0,10.0
48,48,712.0,10.0
49,49,712.0,10.0
50,50,712.0,10.0
51,51,712.0,10.0
52,52,712.0,11.0
53,53,712.0,11.0
54,54,712.0,11.0
55,55,712.0,11.0
56,56,712.0,11.0
57,57,712.0,11.0
58,58,712.0,11.0
59,59,712.0,11.0
60,60,712.0,11.0
61,61,712.0,11.0
62,62,712.0,11.0
63,63,712.0,11.0
64,64,712.0,11.0
