,index,ConfirmedCases,Fatalities
0,0,0.0,0.0
1,1,0.0,0.0
2,2,0.0,0.0
3,3,0.0,0.0
4,4,0.0,0.0
5,5,0.0,0.0
6,6,0.0,0.0
7,7,0.0,0.0
8,8,0.0,0.0
9,9,0.0,0.0
10,10,0.0,0.0
11,11,0.0,0.0
12,12,0.0,0.0
13,13,0.0,0.0
14,14,0.0,0.0
15,15,0.0,0.0
16,16,0.0,0.0
17,17,0.0,0.0
18,18,0.0,0.0
19,19,0.0,0.0
20,20,0.0,0.0
21,21,1.0,0.0
22,22,1.0,0.0
23,23,1.0,0.0
24,24,1.0,0.0
25,25,1.0,0.0
26,26,2.0,0.0
27,27,2.0,0.0
28,28,5.0,0.0
29,29,5.0,0.0
30,30,5.0,0.0
31,31,5.0,0.0
32,32,5.0,0.0
33,33,5.0,0.0
34,34,11.0,0.0
35,35,11.0,0.0
36,36,11.0,0.0
37,37,21.0,1.0
38,38,21.0,1.0
39,39,34.0,2.0
40,40,72.0,2.0
41,41,112.0,2.0
42,42,202.0,3.0
43,43,245.0,3.0
44,44,312.0,6.0
45,45,392.0,10.0
46,46,488.0,10.0
47,47,581.0,20.0
48,48,719.0,28.0
49,49,859.0,39.0
50,50,901.0,42.0
51,51,1109.0,51.0
52,52,1284.0,57.0
53,53,1380.0,60.0
54,54,1488.0,68.0
55,55,1488.0,68.0
56,56,1745.0,82.0
57,57,1828.0,86.0
58,58,1956.0,98.0
59,59,2111.0,108.0
60,60,2349.0,118.0
61,61,2620.0,126.0
62,62,2759.0,135.0
63,63,2967.0,173.0
64,64,3167.0,177.0
