,index,ConfirmedCases,Fatalities
0,0,0.0,0.0
1,1,0.0,0.0
2,2,0.0,0.0
3,3,0.0,0.0
4,4,0.0,0.0
5,5,0.0,0.0
6,6,0.0,0.0
7,7,0.0,0.0
8,8,0.0,0.0
9,9,0.0,0.0
10,10,0.0,0.0
11,11,0.0,0.0
12,12,0.0,0.0
13,13,0.0,0.0
14,14,0.0,0.0
15,15,0.0,0.0
16,16,0.0,0.0
17,17,0.0,0.0
18,18,0.0,0.0
19,19,0.0,0.0
20,20,0.0,0.0
21,21,6.0,0.0
22,22,6.0,0.0
23,23,7.0,0.0
24,24,10.0,0.0
25,25,13.0,0.0
26,26,13.0,0.0
27,27,13.0,0.0
28,28,14.0,0.0
29,29,15.0,0.0
30,30,15.0,0.0
31,31,17.0,0.0
32,32,17.0,0.0
33,33,17.0,0.0
34,34,28.0,2.0
35,35,28.0,2.0
36,36,37.0,2.0
37,37,58.0,2.0
38,38,111.0,2.0
39,39,199.0,3.0
40,40,367.0,5.0
41,41,506.0,7.0
42,42,789.0,14.0
43,43,981.0,18.0
44,44,1082.0,27.0
45,45,1173.0,28.0
46,46,1403.0,34.0
47,47,1595.0,36.0
48,48,1823.0,48.0
49,49,1924.0,58.0
50,50,1962.0,60.0
51,51,2240.0,75.0
52,52,2748.0,93.0
53,53,3163.0,120.0
54,54,3368.0,145.0
55,55,3465.0,172.0
56,56,3646.0,180.0
57,57,3747.0,191.0
58,58,3747.0,191.0
59,59,4450.0,242.0
60,60,4965.0,272.0
61,61,7161.0,297.0
62,62,7257.0,315.0
63,63,7466.0,333.0
64,64,7529.0,355.0
