,index,ConfirmedCases,Fatalities
0,0,0.0,0.0
1,1,0.0,0.0
2,2,0.0,0.0
3,3,0.0,0.0
4,4,0.0,0.0
5,5,1.0,0.0
6,6,1.0,0.0
7,7,1.0,0.0
8,8,1.0,0.0
9,9,1.0,0.0
10,10,1.0,0.0
11,11,1.0,0.0
12,12,1.0,0.0
13,13,1.0,0.0
14,14,1.0,0.0
15,15,1.0,0.0
16,16,1.0,0.0
17,17,1.0,0.0
18,18,1.0,0.0
19,19,1.0,0.0
20,20,1.0,0.0
21,21,2.0,0.0
22,22,2.0,0.0
23,23,2.0,0.0
24,24,2.0,0.0
25,25,3.0,0.0
26,26,15.0,0.0
27,27,15.0,0.0
28,28,49.0,1.0
29,29,55.0,1.0
30,30,59.0,1.0
31,31,60.0,1.0
32,32,67.0,1.0
33,33,80.0,2.0
34,34,109.0,2.0
35,35,110.0,2.0
36,36,150.0,2.0
37,37,196.0,4.0
38,38,196.0,6.0
39,39,256.0,6.0
40,40,285.0,8.0
41,41,294.0,10.0
42,42,327.0,14.0
43,43,366.0,19.0
44,44,402.0,20.0
45,45,456.0,21.0
46,46,495.0,24.0
47,47,536.0,30.0
48,48,576.0,36.0
49,49,609.0,40.0
50,50,656.0,41.0
51,51,710.0,46.0
52,52,779.0,52.0
53,53,865.0,58.0
54,54,985.0,66.0
55,55,1070.0,71.0
56,56,1173.0,78.0
57,57,1322.0,85.0
58,58,1450.0,94.0
59,59,1560.0,103.0
60,60,1699.0,118.0
61,61,1794.0,135.0
62,62,1939.0,146.0
63,63,2065.0,159.0
64,64,2190.0,164.0
